"dgp","dgp_label","family","p","mechanism","n","method","reps","n_valid","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","mse","mean_se","coverage95","mean_z","sd_z","mean_ci_length","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","mean_complete_rows","min_pair_count_min","mean_em_iter","mechanism_order","method_order","dgp_order"
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_lowgate45",100,"normal_fiml",200,199,1,0.707836900907317,0.692289594505888,-0.0155473064014288,0.0734050353715122,0.00520354499278371,0.00560294107374094,0.0672200771121772,0.92964824120603,0.0401946374576073,1.11546182782315,0.263497860355745,287.200000000001,247.500000000002,0.624858333333333,10.615,22,111.613065326633,3,3,1
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mar_lowgate45",100,"listwise",200,191,9,0.707836900907317,0.604911886259565,-0.102925014647751,0.261113750726028,0.0188935279118009,0.0784169840615001,0.157178599159968,0.87434554973822,0.0297498912832806,1.4894748046045,0.616128786987991,0.104999999999862,0,0.624858333333333,10.615,22,NA,3,4,1
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mcar30",100,"pairwise",200,200,0,0.678321197683783,0.664725104574051,-0.0135960931097324,0.0693689448552,0.00490512513108676,0.00497284400562067,0.0663074947669148,0.945,-0.0468570991105632,1.02639117501386,0.259920603296462,0.144999999999769,0,0.749516666666667,16.74,30,NA,1,1,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mcar30",100,"cat_fiml",200,200,0,0.678321197683783,0.651188845202964,-0.0271323524808187,0.0688628992472325,0.00486934230298841,0.00545455294941421,0.0736126406375046,0.965,-0.223873890597691,0.952297354753146,0.288556248912797,2.92000000000087,2.00000000000955,0.749516666666667,16.74,30,NA,1,2,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mcar30",100,"normal_fiml",200,200,0,0.678321197683783,0.669748220502439,-0.00857297718134416,0.0670835519451877,0.00474352344865222,0.00455119786462663,0.0638575273921405,0.95,0.0553864330800322,1.03738555243802,0.25031690766075,166.354999999999,156.500000000001,0.749516666666667,16.74,30,61.495,1,3,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mcar30",100,"listwise",200,199,1,0.678321197683783,0.630111459396393,-0.0482097382873901,0.158410261588683,0.0112294057120672,0.0272918902896876,0.131482113149206,0.934673366834171,-0.00283830986671374,1.17056283852943,0.515400412767328,0.129999999999981,0,0.749516666666667,16.74,30,NA,1,4,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_linear30",100,"pairwise",200,200,0,0.678321197683783,0.682143669032481,0.00382247134869803,0.0855932745274692,0.00605235848423353,0.00730418888832465,0.0697317513595241,0.87,0.323114310678829,1.33914557851268,0.273343442487138,0.130000000000337,0,0.749233333333333,28.675,37,NA,2,1,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_linear30",100,"cat_fiml",200,200,0,0.678321197683783,0.653018512961281,-0.025302684722502,0.0764510902183544,0.00540590843225029,0.00645577120376343,0.0877720085163781,0.955,-0.112154199131139,1.01694628977902,0.344059951085688,3.96999999999991,2.9999999999859,0.749233333333333,28.675,37,NA,2,2,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_linear30",100,"normal_fiml",200,200,0,0.678321197683783,0.660299962405945,-0.0180212352778383,0.0784707710197486,0.00554872143130011,0.00645163851585086,0.0636734601619964,0.905,-0.0384770466794134,1.18867064311002,0.249595377377118,141.089999999999,137,0.749233333333333,28.675,37,41.42,2,3,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_linear30",100,"listwise",200,200,0,0.678321197683783,0.653476356400817,-0.0248448412829666,0.126588136024682,0.00895113294008181,0.0165616995396683,0.0977623727434535,0.915,0.0932288049860144,1.17347780177873,0.383221459240698,0.135000000000218,0,0.749233333333333,28.675,37,NA,2,4,2
"gauss_skew","Gaussian copula, skewed ordinal margins","gaussian_copula_skewed",6,"mar_lowgate45",100,"pairwise",200,200,0,0.678321197683783,0.683160243043591,0.00483904535980833,0.0898798274071234,0.00635546354514535,0.0080614078178549,0.0748355089675008,0.86,0.341411480475388,1.29072910240262,0.293349804682052,0.115000000000265,0,0.623658333333333,22.72,25,NA,3,1,2
