"dgp","dgp_label","family","p","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,9,21200629,"normal_fiml",0.707836900907317,0.682721422779408,-0.0251154781279084,0.0529267648758245,137,43,0.778333333333333,23,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,9,21200629,"listwise",0.707836900907317,0.706102117061021,-0.00173478384629577,0.0920363601126695,0,NA,0.778333333333333,23,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,10,21200630,"pairwise",0.707836900907317,0.664537533259914,-0.0432993676474029,0.0643385178978901,0.99999999999989,NA,0.75,19,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,10,21200630,"cat_fiml",0.707836900907317,0.643408379483319,-0.0644285214239977,0.087598166768807,4,NA,0.75,19,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,10,21200630,"normal_fiml",0.707836900907317,0.687696373737057,-0.0201405271702598,0.0602089811753639,174,75,0.75,19,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,10,21200630,"listwise",0.707836900907317,0.268108108108108,-0.439728792799209,0.284502393475934,0,NA,0.75,19,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,11,21200631,"pairwise",0.707836900907317,0.712150499733846,0.00431359882652904,0.0568864310958251,0.99999999999989,NA,0.743333333333333,17,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,11,21200631,"cat_fiml",0.707836900907317,0.651731696220399,-0.0561052046869183,0.0671771753527106,2,NA,0.743333333333333,17,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,11,21200631,"normal_fiml",0.707836900907317,0.7136182084723,0.0057813075649833,0.0502930853999346,151,57,0.743333333333333,17,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,11,21200631,"listwise",0.707836900907317,0.75801749271137,0.0501805918040534,0.117032652053249,0,NA,0.743333333333333,17,46,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,12,21200632,"pairwise",0.707836900907317,0.664637668272229,-0.043199232635088,0.0581459481539913,0,NA,0.76,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,12,21200632,"cat_fiml",0.707836900907317,0.669796389224725,-0.0380405116825918,0.0656232807229857,3.00000000000011,NA,0.76,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,12,21200632,"normal_fiml",0.707836900907317,0.680145238262217,-0.0276916626450996,0.0567281929903712,110,40,0.76,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,12,21200632,"listwise",0.707836900907317,0.582608695652174,-0.125228205255143,0.149681112089151,0,NA,0.76,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,13,21200633,"pairwise",0.707836900907317,0.662346840160406,-0.0454900607469111,0.0670631545782441,0,NA,0.738333333333333,14,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,13,21200633,"cat_fiml",0.707836900907317,0.667371758323488,-0.0404651425838287,0.10929846254995,1.99999999999978,NA,0.738333333333333,14,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,13,21200633,"normal_fiml",0.707836900907317,0.66385723948499,-0.0439796614223265,0.0615369325118694,126,43,0.738333333333333,14,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,13,21200633,"listwise",0.707836900907317,0.587208121827411,-0.120628779079906,0.182461129323817,0,NA,0.738333333333333,14,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,14,21200634,"pairwise",0.707836900907317,0.658776453430269,-0.0490604474770474,0.056574565327183,0,NA,0.741666666666667,17,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,14,21200634,"cat_fiml",0.707836900907317,0.690459320952573,-0.0173775799547439,0.0645427782609089,3.00000000000011,NA,0.741666666666667,17,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,14,21200634,"normal_fiml",0.707836900907317,0.711674284335474,0.00383738342815698,0.058092685705426,133,47,0.741666666666667,17,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,14,21200634,"listwise",0.707836900907317,0.437450199203187,-0.27038670170413,0.173884294916252,0,NA,0.741666666666667,17,45,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,15,21200635,"pairwise",0.707836900907317,0.770420977326214,0.0625840764188971,0.0486138171099163,1.00000000000033,NA,0.725,15,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,15,21200635,"cat_fiml",0.707836900907317,0.70309592685586,-0.00474097405145668,0.0549410046039906,4.99999999999989,NA,0.725,15,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,15,21200635,"normal_fiml",0.707836900907317,0.720596017852304,0.0127591169449869,0.047676050143736,170,67,0.725,15,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,15,21200635,"listwise",0.707836900907317,0.878171978352375,0.170335077445058,0.0450545358628405,0,NA,0.725,15,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,16,21200636,"pairwise",0.707836900907317,0.708006677468205,0.000169776560888568,0.0547339893439665,0,NA,0.745,20,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,16,21200636,"cat_fiml",0.707836900907317,0.637282774601673,-0.0705541263056442,0.0744011377511363,4,NA,0.745,20,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,16,21200636,"normal_fiml",0.707836900907317,0.702604611939573,-0.00523228896774375,0.0528519511462189,142,47,0.745,20,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,16,21200636,"listwise",0.707836900907317,0.74457611668186,0.0367392157745428,0.0824400703227148,0,NA,0.745,20,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,17,21200637,"pairwise",0.707836900907317,0.713122693335428,0.00528579242811145,0.0672525244994429,1.00000000000033,NA,0.733333333333333,14,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,17,21200637,"cat_fiml",0.707836900907317,0.681570326833591,-0.026266574073726,0.0553057285208696,6.99999999999967,NA,0.733333333333333,14,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,17,21200637,"normal_fiml",0.707836900907317,0.69130744360937,-0.0165294572979467,0.0597797588597815,155,60,0.733333333333333,14,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,17,21200637,"listwise",0.707836900907317,0.873889875666075,0.166052974758758,0.0589525416782943,0.99999999999989,NA,0.733333333333333,14,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,18,21200638,"pairwise",0.707836900907317,0.758213453715174,0.0503765528078568,0.0375181597292696,0,NA,0.728333333333333,12,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,18,21200638,"cat_fiml",0.707836900907317,0.723086024002616,0.0152491230952997,0.0468529289331444,3.00000000000011,NA,0.728333333333333,12,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,18,21200638,"normal_fiml",0.707836900907317,0.755053792405673,0.0472168914983567,0.0370480858087275,129,49,0.728333333333333,12,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,18,21200638,"listwise",0.707836900907317,0.706611570247934,-0.00122533065938291,0.0844595244467241,0,NA,0.728333333333333,12,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,19,21200639,"pairwise",0.707836900907317,0.72571533132501,0.0178784304176937,0.0412963664128926,0,NA,0.755,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,19,21200639,"cat_fiml",0.707836900907317,0.719999728543104,0.0121628276357875,0.0624394676884139,1.99999999999978,NA,0.755,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,19,21200639,"normal_fiml",0.707836900907317,0.757286016971808,0.0494491160644912,0.0361566993150926,133,56,0.755,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,19,21200639,"listwise",0.707836900907317,0.491447368421053,-0.216389532486264,0.146747988252303,0,NA,0.755,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,20,21200640,"pairwise",0.707836900907317,0.695394011646159,-0.0124428892611573,0.0538926575833122,0,NA,0.75,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,20,21200640,"cat_fiml",0.707836900907317,0.680672941832409,-0.0271639590749075,0.0628338833761963,1.99999999999978,NA,0.75,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,20,21200640,"normal_fiml",0.707836900907317,0.718235155208095,0.0103982543007787,0.0550567064736415,166,76,0.75,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,20,21200640,"listwise",0.707836900907317,0.518019801980198,-0.189817098927119,0.172675416075288,0,NA,0.75,15,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,21,21200641,"pairwise",0.707836900907317,0.703139325561846,-0.00469757534547099,0.0525631263399528,0.99999999999989,NA,0.721666666666667,12,35,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,21,21200641,"cat_fiml",0.707836900907317,0.663369077170761,-0.0444678237365554,0.0655807398774135,2.00000000000022,NA,0.721666666666667,12,35,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,21,21200641,"normal_fiml",0.707836900907317,0.714064185642257,0.00622728473494005,0.0500179452182023,164,70,0.721666666666667,12,35,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,21,21200641,"listwise",0.707836900907317,0.667567567567568,-0.0402693333397492,0.123157286711384,0,NA,0.721666666666667,12,35,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,22,21200642,"pairwise",0.707836900907317,0.584888303967175,-0.122948596940142,0.0692377557547738,0.99999999999989,NA,0.765,22,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,22,21200642,"cat_fiml",0.707836900907317,0.601924225955743,-0.105912674951574,0.0727223641615548,7.00000000000012,NA,0.765,22,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,22,21200642,"normal_fiml",0.707836900907317,0.617213822976306,-0.0906230779310109,0.0703431406463284,125,43,0.765,22,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,22,21200642,"listwise",0.707836900907317,0.544230769230769,-0.163606131676547,0.115411295155395,0,NA,0.765,22,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,23,21200643,"pairwise",0.707836900907317,0.703785706094345,-0.00405119481297145,0.0594457591892704,0,NA,0.75,11,41,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,23,21200643,"cat_fiml",0.707836900907317,0.672627075276787,-0.0352098256305302,0.0817244850652309,4.99999999999989,NA,0.75,11,41,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,23,21200643,"normal_fiml",0.707836900907317,0.690867684515214,-0.016969216392103,0.0559405867181134,124,47,0.75,11,41,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,23,21200643,"listwise",0.707836900907317,0.819555555555556,0.111718654648239,0.0696991766806092,0,NA,0.75,11,41,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,24,21200644,"pairwise",0.707836900907317,0.603894076448956,-0.103942824458361,0.0737041184354056,0,NA,0.745,13,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,24,21200644,"cat_fiml",0.707836900907317,0.505801663773033,-0.202035237134284,0.0800598288264228,1.99999999999978,NA,0.745,13,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,24,21200644,"normal_fiml",0.707836900907317,0.595485051834316,-0.112351849073001,0.0671397496681532,146,62,0.745,13,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,24,21200644,"listwise",0.707836900907317,0.713173652694611,0.00533675178729409,0.0940016489997329,0,NA,0.745,13,43,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,25,21200645,"pairwise",0.707836900907317,0.751694617856385,0.0438577169490685,0.041207020581813,0,NA,0.743333333333333,18,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,25,21200645,"cat_fiml",0.707836900907317,0.680650798019486,-0.0271861028878306,0.0475005232737972,3.00000000000011,NA,0.743333333333333,18,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,25,21200645,"normal_fiml",0.707836900907317,0.716702858684461,0.00886595777714394,0.0436583075264448,141.999999999999,52,0.743333333333333,18,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,25,21200645,"listwise",0.707836900907317,0.782590382590383,0.0747534816830658,0.0610737927114797,0,NA,0.743333333333333,18,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,26,21200646,"pairwise",0.707836900907317,0.744503433951131,0.0366665330438141,0.0415302284619305,0,NA,0.756666666666667,19,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,26,21200646,"cat_fiml",0.707836900907317,0.742084764782139,0.034247863874822,0.058413708391912,1.99999999999978,NA,0.756666666666667,19,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,26,21200646,"normal_fiml",0.707836900907317,0.755198507698938,0.0473616067916209,0.0368397215577018,136,56,0.756666666666667,19,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,26,21200646,"listwise",0.707836900907317,0.741048824593128,0.0332119236858116,0.0769638995824228,1.00000000000033,NA,0.756666666666667,19,38,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,27,21200647,"pairwise",0.707836900907317,0.706397831445787,-0.0014390694615295,0.0483295859822031,0,NA,0.745,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,27,21200647,"cat_fiml",0.707836900907317,0.712560655562902,0.00472375465558561,0.0461680713299155,5.99999999999934,NA,0.745,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,27,21200647,"normal_fiml",0.707836900907317,0.719620073507149,0.0117831725998321,0.0448742749082283,143.000000000001,52,0.745,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,27,21200647,"listwise",0.707836900907317,0.7,-0.0078369009073167,0.103171220844312,0,NA,0.745,14,42,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,28,21200648,"pairwise",0.707836900907317,0.719907069428661,0.0120701685213438,0.0509062493956496,0,NA,0.768333333333333,21,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,28,21200648,"cat_fiml",0.707836900907317,0.65330677623233,-0.0545301246749865,0.08941583019142,1.99999999999978,NA,0.768333333333333,21,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,28,21200648,"normal_fiml",0.707836900907317,0.705645384872262,-0.0021915160350543,0.0492631015168957,130,41,0.768333333333333,21,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,28,21200648,"listwise",0.707836900907317,0.769687964338782,0.0618510634314647,0.0655802472565332,0,NA,0.768333333333333,21,49,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,29,21200649,"pairwise",0.707836900907317,0.719817252926326,0.0119803520190097,0.0442070341261602,0,NA,0.751666666666667,14,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,29,21200649,"cat_fiml",0.707836900907317,0.71045380453654,0.00261690362922318,0.049078742654213,3.00000000000011,NA,0.751666666666667,14,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,29,21200649,"normal_fiml",0.707836900907317,0.74634193757034,0.0385050366630234,0.0440686058819933,150,46,0.751666666666667,14,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,29,21200649,"listwise",0.707836900907317,0.626440677966102,-0.0813962229412151,0.154102820361472,0,NA,0.751666666666667,14,39,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,30,21200650,"pairwise",0.707836900907317,0.700501616286076,-0.00733528462124045,0.0504156501311058,1.00000000000033,NA,0.753333333333333,22,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,30,21200650,"cat_fiml",0.707836900907317,0.645514592968003,-0.0623223079393143,0.0757710073963988,1.99999999999978,NA,0.753333333333333,22,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,30,21200650,"normal_fiml",0.707836900907317,0.712943996279683,0.00510709537236576,0.04875952975987,122,45,0.753333333333333,22,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,30,21200650,"listwise",0.707836900907317,0.68583846432452,-0.0219984365827967,0.0879106626362057,0,NA,0.753333333333333,22,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,31,21200651,"pairwise",0.707836900907317,0.554881140947383,-0.152955759959933,0.0745576362763966,0,NA,0.775,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,31,21200651,"cat_fiml",0.707836900907317,0.6034227387705,-0.104414162136817,0.0718024570455585,16,NA,0.775,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,31,21200651,"normal_fiml",0.707836900907317,0.599767294966612,-0.108069605940704,0.0715660851962697,116,41,0.775,17,44,""
"gauss_balanced","Gaussian copula, balanced ordinal margins","gaussian_copula",6,"mcar30",100,31,21200651,"listwise",0.707836900907317,0.407508532423208,-0.300328368484109,0.197124535387929,1.00000000000033,NA,0.775,17,44,""
