"model_family","dgp","dgp_name","method","coefficient","n","reps","n_valid","n_error","truth","mean","sd","bias","abs_bias","mse","error_rate","rank_abs_bias","rank_sd"
"guess","B","Non-exchangeable + MCAR","available","Conger",1000,50,50,0,0.651968965933788,0.807277033866231,0.011409278652881,0.155308067932444,0.155308067932444,0.0242481641715001,0,3,2
"guess","B","Non-exchangeable + MCAR","fiml","Conger",1000,50,50,0,0.651968965933788,0.687198438976404,0.0206667817792291,0.0352294730426169,0.0352294730426169,0.00165968932258854,0,1,3
"guess","B","Non-exchangeable + MCAR","gwet","Conger",1000,50,50,0,0.651968965933788,0.807880724590778,0.0113301646970084,0.15591175865699,0.15591175865699,0.0244342816669357,0,4,1
"guess","B","Non-exchangeable + MCAR","ipw","Conger",1000,50,50,0,0.651968965933788,0.698106940863659,0.0245818765552091,0.0461379749298712,0.0461379749298712,0.00272089601250545,0,2,4
"guess","B","Non-exchangeable + MCAR","available","Fleiss",1000,50,50,0,0.652116995171671,0.807180823170424,0.0114204979593383,0.155063827998753,0.155063827998753,0.0241726099717933,0,3,2
"guess","B","Non-exchangeable + MCAR","fiml","Fleiss",1000,50,50,0,0.652116995171671,0.687074632075686,0.0206877267505259,0.0349576369040154,0.0349576369040154,0.00164145877525532,0,1,3
"guess","B","Non-exchangeable + MCAR","gwet","Fleiss",1000,50,50,0,0.652116995171671,0.807789541980061,0.0113391973803366,0.15567254680839,0.15567254680839,0.024359947679096,0,4,1
"guess","B","Non-exchangeable + MCAR","ipw","Fleiss",1000,50,50,0,0.652116995171671,0.697963151368378,0.0246030924363373,0.0458461561967075,0.0458461561967075,0.00269507595229525,0,2,4
"guess","C","Difficulty + MAR","available","Brennan-Prediger",1000,50,50,0,0.67358965373594,0.789452987184784,0.0101147690629558,0.115863333448844,0.115863333448844,0.0135245744200111,0,2,2
"guess","C","Difficulty + MAR","fiml","Brennan-Prediger",1000,50,50,0,0.67358965373594,0.700230111598501,0.0155794305687965,0.0266404578625612,0.0266404578625612,0.000947578278837891,0,1,4
"guess","C","Difficulty + MAR","gwet","Brennan-Prediger",1000,50,50,0,0.67358965373594,0.789452987184784,0.0101147690629558,0.115863333448844,0.115863333448844,0.0135245744200111,0,2,2
"guess","C","Difficulty + MAR","ipw","Brennan-Prediger",1000,50,50,0,0.67358965373594,0.78950990246056,0.0100842603257781,0.11592024872462,0.11592024872462,0.0135371625245696,0,4,1
"guess","C","Difficulty + MAR","available","Conger",1000,50,50,0,0.66998242452244,0.785015596171589,0.0103207286272334,0.115033171649149,0.115033171649149,0.0133370176702715,0,3,2
"guess","C","Difficulty + MAR","fiml","Conger",1000,50,50,0,0.66998242452244,0.69581064174856,0.0160240042008817,0.0258282172261196,0.0258282172261196,0.000918730141496898,0,1,4
"guess","C","Difficulty + MAR","gwet","Conger",1000,50,50,0,0.66998242452244,0.785013238401822,0.0103217586048714,0.115030813879382,0.115030813879382,0.0133364960684364,0,2,3
"guess","C","Difficulty + MAR","ipw","Conger",1000,50,50,0,0.66998242452244,0.785071253564595,0.0102925351185874,0.115088829042155,0.115088829042155,0.0133492561238784,0,4,1
"guess","C","Difficulty + MAR","available","Fleiss",1000,50,50,0,0.670154069186059,0.784988336884045,0.0103228787446298,0.114834267697986,0.114834267697986,0.0132913396267974,0,3,2
"guess","C","Difficulty + MAR","fiml","Fleiss",1000,50,50,0,0.670154069186059,0.695768781564159,0.0160298987592615,0.0256147123780998,0.0256147123780998,0.000907931991360305,0,1,4
"guess","C","Difficulty + MAR","gwet","Fleiss",1000,50,50,0,0.670154069186059,0.784985436495388,0.0103241300620354,0.114831367309329,0.114831367309329,0.0132906988264371,0,2,3
"guess","C","Difficulty + MAR","ipw","Fleiss",1000,50,50,0,0.670154069186059,0.78504345988709,0.0102948878933317,0.11488939070103,0.11488939070103,0.0133034371180555,0,4,1
