"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"available","Fleiss",0.750226364388716,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"available","Brennan-Prediger",0.756289308176101,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"ipw","Conger",0.750854690568136,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"ipw","Fleiss",0.750585701084682,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"ipw","Brennan-Prediger",0.756151704020751,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"fiml","Conger",0.723319059195393,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"fiml","Fleiss",0.723148376304543,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"fiml","Brennan-Prediger",0.729769119040034,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"gwet","Conger",0.750995283840383,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"gwet","Fleiss",0.750726446148315,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,1,240201,"gwet","Brennan-Prediger",0.756289308176101,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"available","Conger",0.804175977852187,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"available","Fleiss",0.803980773381639,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"available","Brennan-Prediger",0.807449494949495,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"ipw","Conger",0.804519229086481,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"ipw","Fleiss",0.804300253187154,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"ipw","Brennan-Prediger",0.80775209211972,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"fiml","Conger",0.741900781990755,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"fiml","Fleiss",0.741801040659595,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"fiml","Brennan-Prediger",0.746222289576944,0.810347222222222,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"gwet","Conger",0.804211543407276,0.803876004296152,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"gwet","Fleiss",0.803992222841065,0.803867480879817,""
"dawid_skene","A","Exchangeable + MCAR",120,2,240202,"gwet","Brennan-Prediger",0.807449494949495,0.810347222222222,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"available","Conger",0.739469209808364,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"available","Fleiss",0.739342997132727,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"available","Brennan-Prediger",0.75140712945591,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"ipw","Conger",0.689825114802873,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"ipw","Fleiss",0.689345426322454,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"ipw","Brennan-Prediger",0.704348361579068,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"fiml","Conger",0.668530546739647,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"fiml","Fleiss",0.668131769079136,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"fiml","Brennan-Prediger",0.68615366928938,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"gwet","Conger",0.739195542789258,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"gwet","Fleiss",0.738792206156486,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,1,250201,"gwet","Brennan-Prediger",0.75140712945591,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"available","Conger",0.811854700825661,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"available","Fleiss",0.811720681483946,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"available","Brennan-Prediger",0.815074906367041,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"ipw","Conger",0.710126681991504,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"ipw","Fleiss",0.70938904700692,0.64306022310533,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"ipw","Brennan-Prediger",0.715902734507626,0.655138888888889,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"fiml","Conger",0.668837868730334,0.643119598951517,""
"dawid_skene","B","Non-exchangeable + MCAR",120,2,250202,"fiml","Fleiss",0.668435586698626,0.64306022310533,""
