"spec","mechanism","n","b","method","truth","est","observed_fraction"
"anchor_moderate","anchor",4000,9,"ipw",0.666931633438082,0.699907820971626,0.79175
"anchor_moderate","anchor",4000,10,"ipw",0.666931633438082,0.707848030297572,0.7869375
"anchor_moderate","anchor",4000,11,"ipw",0.666931633438082,0.69424275092372,0.7963125
"anchor_moderate","anchor",4000,12,"ipw",0.666931633438082,0.702747010410669,0.794125
"anchor_moderate","anchor",4000,13,"ipw",0.666931633438082,0.700443219373172,0.789125
"anchor_moderate","anchor",4000,14,"ipw",0.666931633438082,0.695361276996589,0.787875
"anchor_moderate","anchor",4000,15,"ipw",0.666931633438082,0.691592469920709,0.7928125
"anchor_moderate","anchor",4000,16,"ipw",0.666931633438082,0.70953374946989,0.785
"anchor_moderate","anchor",4000,17,"ipw",0.666931633438082,0.694419059755832,0.7979375
"anchor_moderate","anchor",4000,18,"ipw",0.666931633438082,0.709877549882269,0.791
"anchor_moderate","anchor",4000,19,"ipw",0.666931633438082,0.696690910673766,0.7936875
"anchor_moderate","anchor",4000,20,"ipw",0.666931633438082,0.70206159638225,0.7905625
"anchor_moderate","anchor",4000,21,"ipw",0.666931633438082,0.709351624733202,0.793375
"anchor_moderate","anchor",4000,22,"ipw",0.666931633438082,0.688367943703297,0.7870625
"anchor_moderate","anchor",4000,23,"ipw",0.666931633438082,0.696739383125377,0.787375
"anchor_moderate","anchor",4000,24,"ipw",0.666931633438082,0.697324790914986,0.781375
"anchor_moderate","anchor",4000,25,"ipw",0.666931633438082,0.692933272792495,0.7895
"anchor_moderate","anchor",4000,26,"ipw",0.666931633438082,0.698896356842168,0.794
"anchor_moderate","anchor",4000,27,"ipw",0.666931633438082,0.694775980795506,0.7883125
"anchor_moderate","anchor",4000,28,"ipw",0.666931633438082,0.696314733094946,0.7959375
"anchor_moderate","anchor",4000,29,"ipw",0.666931633438082,0.707043694561231,0.79775
"anchor_moderate","anchor",4000,30,"ipw",0.666931633438082,0.688049003363523,0.7890625
"anchor_moderate","anchor",4000,31,"ipw",0.666931633438082,0.69663143673659,0.7976875
"anchor_moderate","anchor",4000,32,"ipw",0.666931633438082,0.700233796382879,0.797
"anchor_moderate","anchor",4000,33,"ipw",0.666931633438082,0.702007671889086,0.78375
