"phase","profile","profile_label","C","R","n","prune_tol","coefficient","reps","n_valid","failures","truth","mean_estimate","bias","sd","mc_se_bias","rmse","mean_se","mean_observed_fraction","bias_times_n"
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Conger",8,8,0,0.8464,0.846774727226063,0.00037472722606284,0.0124489350681911,0.00440136320263448,0.0116509401674065,0.00968367914646247,0.68678125,0.749454452125681
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-06,"Conger",8,8,0,0.8464,0.852500335543646,0.00610033554364633,0.00702068919499008,0.00248218846919031,0.00896342071539343,0.00921397751230655,0.689265625,12.2006710872927
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-12,"Fleiss",8,8,0,0.8464,0.843845344518238,-0.00255465548176219,0.0100659682751694,0.00355885721329048,0.00975625528994733,0.00961921615729028,0.686984375,-5.10931096352438
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Fleiss",8,8,0,0.8464,0.846769061240415,0.000369061240414789,0.0124496391422386,0.00440161213040118,0.0116514175800475,0.00968478851781593,0.68678125,0.738122480829578
"prune","p2","P2: C = 3, R = 4",3,4,2000,1e-06,"Fleiss",8,8,0,0.8464,0.852496089789765,0.00609608978976477,0.00702207391055643,0.00248267804007379,0.00896148104274772,0.00921480826248921,0.689265625,12.1921795795295
"scaling","p1","P1: C = 5, R = 6",5,6,500,1e-09,"Brennan-Prediger",8,8,0,0.850228148148148,0.836190365623892,-0.0140377825242564,0.0130911787100374,0.0046284306197962,0.0186283635409605,0.0744474550078036,0.688541666666667,-7.01889126212821
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Brennan-Prediger",8,8,0,0.850228148148148,0.839898629635324,-0.0103295185128243,0.00722681094434777,0.00255506351255073,0.0123449341666514,0.0543990839043206,0.690875,-20.6590370256487
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1e-09,"Brennan-Prediger",8,8,0,0.850228148148148,0.847678795250008,-0.00254935289814014,0.00422668300405064,0.00149435810704507,0.00470435364996029,0.0388108550024948,0.691388020833333,-20.3948231851211
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1e-09,"Brennan-Prediger",8,8,0,0.850228148148148,0.849467733503855,-0.000760414644292884,0.00296212212653488,0.00104726832118776,0.00287326068904287,0.0170876653796669,0.691716796875,-24.3332686173723
"scaling","p1","P1: C = 5, R = 6",5,6,500,1e-09,"Conger",8,8,0,0.8464,0.831391917377671,-0.0150080826223294,0.0130997301217431,0.00463145400039911,0.0193751156668381,0.0750684079549119,0.688541666666667,-7.50404131116469
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Conger",8,8,0,0.8464,0.835483553033934,-0.0109164469660662,0.00744033721462142,0.00263055644938672,0.0129463355818087,0.0552576727610965,0.690875,-21.8328939321323
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1e-09,"Conger",8,8,0,0.8464,0.843850399748239,-0.00254960025176069,0.00439188894309937,0.00155276722694189,0.00483508674909064,0.0389058056488239,0.691388020833333,-20.3968020140856
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1e-09,"Conger",8,8,0,0.8464,0.845632454765764,-0.000767545234235792,0.00304499128067787,0.00107656699161061,0.00294993238881449,0.0175112013248859,0.691716796875,-24.5614474955453
"scaling","p1","P1: C = 5, R = 6",5,6,500,1e-09,"Fleiss",8,8,0,0.8464,0.831368767846653,-0.0150312321533468,0.0131056363590373,0.00463354217062012,0.019396544315321,0.0750759465349828,0.688541666666667,-7.51561607667339
"scaling","p1","P1: C = 5, R = 6",5,6,2000,1e-09,"Fleiss",8,8,0,0.8464,0.8354787588214,-0.0109212411785997,0.00744120779616586,0.00263086424644354,0.0129508160230793,0.0552556288371845,0.690875,-21.8424823571994
"scaling","p1","P1: C = 5, R = 6",5,6,8000,1e-09,"Fleiss",8,8,0,0.8464,0.843849703564871,-0.00255029643512902,0.00439188906938377,0.00155276727159017,0.00483545399162094,0.0388985121271833,0.691388020833333,-20.4023714810322
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1e-09,"Fleiss",8,8,0,0.8464,0.845632251356236,-0.00076774864376436,0.00304497638797662,0.00107656172624559,0.00294997186985237,0.0175109008882879,0.691716796875,-24.5679566004595
"scaling","p2","P2: C = 3, R = 4",3,4,500,1e-09,"Brennan-Prediger",8,8,0,0.856,0.858234546456078,0.00223454645607749,0.0196297441326546,0.00694016259457846,0.0184974105144118,0.0308537382625786,0.68825,1.11727322803874
"scaling","p2","P2: C = 3, R = 4",3,4,2000,1e-09,"Brennan-Prediger",8,8,0,0.856,0.857520100400278,0.00152010040027833,0.0038327047860994,0.00135506577226851,0.00389411452799503,0.0089537606779751,0.686109375,3.04020080055667
