"phase","profile","profile_label","C","R","n","rep","seed","prune_tol","coefficient","estimate","se","truth","error","observed_fraction"
"scaling","p1","P1: C = 5, R = 6",5,6,8000,2,805002,1e-09,"Brennan-Prediger",0.847721478284354,0.038475202614404,0.850228148148148,"",0.687770833333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,3,805003,1e-09,"Conger",0.838619854960918,0.0274393875117556,0.8464,"",0.690270833333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,3,805003,1e-09,"Fleiss",0.838619527381565,0.0274376287868405,0.8464,"",0.690270833333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,3,805003,1e-09,"Brennan-Prediger",0.842664286392522,0.0275325864497277,0.850228148148148,"",0.690270833333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,4,805004,1e-09,"Conger",0.840972409190373,0.0385624741634924,0.8464,"",0.692458333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,4,805004,1e-09,"Fleiss",0.840971037135675,0.0385341716926691,0.8464,"",0.692458333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,4,805004,1e-09,"Brennan-Prediger",0.845059708756172,0.039939038064933,0.850228148148148,"",0.692458333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,5,805005,1e-09,"Conger",0.839433914428103,0.0464253944476314,0.8464,"",0.690208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,5,805005,1e-09,"Fleiss",0.839433300430391,0.0464240882765859,0.8464,"",0.690208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,5,805005,1e-09,"Brennan-Prediger",0.843552307291032,0.0450794514243344,0.850228148148148,"",0.690208333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,6,805006,1e-09,"Conger",0.850914008987334,0.0213451478128894,0.8464,"",0.690333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,6,805006,1e-09,"Fleiss",0.850913531596461,0.0213484808363789,0.8464,"",0.690333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,6,805006,1e-09,"Brennan-Prediger",0.854233882397335,0.0210218871507516,0.850228148148148,"",0.690333333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,7,805007,1e-09,"Conger",0.841783525702592,0.0401700815815244,0.8464,"",0.696958333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,7,805007,1e-09,"Fleiss",0.841783035917183,0.0401662301075123,0.8464,"",0.696958333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,7,805007,1e-09,"Brennan-Prediger",0.845385714667217,0.0399488377544732,0.850228148148148,"",0.696958333333333
"scaling","p1","P1: C = 5, R = 6",5,6,8000,8,805008,1e-09,"Conger",0.847353046133325,0.0591039763112747,0.8464,"",0.6921875
"scaling","p1","P1: C = 5, R = 6",5,6,8000,8,805008,1e-09,"Fleiss",0.847351806982374,0.0590833171101057,0.8464,"",0.6921875
"scaling","p1","P1: C = 5, R = 6",5,6,8000,8,805008,1e-09,"Brennan-Prediger",0.851391115308517,0.0597250334361462,0.850228148148148,"",0.6921875
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1,905001,1e-09,"Conger",0.846512221082555,0.0209827038336905,0.8464,"",0.69271875
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1,905001,1e-09,"Fleiss",0.846512036429034,0.0209823459052148,0.8464,"",0.69271875
"scaling","p1","P1: C = 5, R = 6",5,6,32000,1,905001,1e-09,"Brennan-Prediger",0.850449074084966,0.0202505908778793,0.850228148148148,"",0.69271875
"scaling","p1","P1: C = 5, R = 6",5,6,32000,2,905002,1e-09,"Conger",0.851841071059969,0.0556642740472659,0.8464,"",0.691114583333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,2,905002,1e-09,"Fleiss",0.851840802226223,0.0556629866088443,0.8464,"",0.691114583333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,2,905002,1e-09,"Brennan-Prediger",0.855422727799105,0.0541812327701577,0.850228148148148,"",0.691114583333333
"scaling","p1","P1: C = 5, R = 6",5,6,32000,3,905003,1e-09,"Conger",0.845063740717462,0.0155215955230683,0.8464,"",0.692276041666667
"scaling","p1","P1: C = 5, R = 6",5,6,32000,3,905003,1e-09,"Fleiss",0.845063317534576,0.0155208706145056,0.8464,"",0.692276041666667
"scaling","p1","P1: C = 5, R = 6",5,6,32000,3,905003,1e-09,"Brennan-Prediger",0.849005718956435,0.0149311442452552,0.850228148148148,"",0.692276041666667
