"dgp","dgp_label","family","p","mechanism","n","method","reps","n_valid","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_ci_length","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","mean_complete_rows","min_pair_count_min","mean_em_iter"
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mar_anchor30",100,"normal_fiml",4,4,0,0.830494726795803,0.83879711038148,0.00830238358567761,0.0157099004039134,0.00785495020195668,0.0159383280562732,0.000254030301229387,0.0292626245660985,1.86268682892535,1,0.323320054460451,0.582169683329189,0.11470738048534,126.25,128.5,0.740416666666667,32.75,47,50.25
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mar_anchor30",100,"pairwise",4,4,0,0.830494726795803,0.780441861615811,-0.0500528651799919,0.0132215354925024,0.00661076774625121,0.051345847576129,0.00263639606331107,0.0339302589043038,2.56628732143439,1,-1.46231583188524,0.275214050268397,0.13300417087711,0,0,0.740416666666667,32.75,47,NA
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mcar30",100,"cat_em",4,4,0,0.830494726795803,0.810323030466218,-0.0201716963295848,0.0104279019306979,0.00521395096534896,0.0221009770557813,0.000488453186820173,0.031937750808699,3.06272067199634,1,-0.624266815656895,0.318516927537029,0.12519368266453,2.25000000000009,2.00000000000022,0.76,17.75,42,NA
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mcar30",100,"listwise",4,4,0,0.830494726795803,0.854788527698749,0.0242938009029464,0.0233378410480503,0.0116689205240252,0.0316018967927567,0.000998679880900048,0.0512645375908023,2.19662724950665,1,0.595653833793828,0.527137133764618,0.200953294724145,0.249999999999972,0,0.76,17.75,42,NA
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mcar30",100,"normal_fiml",4,4,0,0.830494726795803,0.829654794469165,-0.000839932326637316,0.0194105728960143,0.00970528644800715,0.016831020213491,0.000283283241426944,0.0282559641161747,1.45569964717407,1,0.0492723203993691,0.757061701277253,0.110761344032317,122.75,116,0.76,17.75,42,50.25
"ordinal_tau6","Tau-equivalent ordinal, 6 items","tau_equivalent",6,"mcar30",100,"pairwise",4,4,0,0.830494726795803,0.8293010520785,-0.0011936747173022,0.021802250822868,0.010901125411434,0.0189189974638764,0.000357928465038163,0.0305158556528734,1.39966537862531,1,0.0539313522401714,0.712356256823096,0.11961995607411,0.499999999999945,0.499999999999945,0.76,17.75,42,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mar_anchor30",100,"cat_em",4,4,0,0.685889660325719,0.6434996973819,-0.0423899629438186,0.0393021452933539,0.019651072646677,0.0543636176764685,0.00295540292687324,0.0817564911082971,2.0802042865106,1,-0.454418403410909,0.503557245382381,0.320479556149263,2.24999999999986,1.99999999999978,0.758333333333333,35.5,47,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mar_anchor30",100,"listwise",4,4,0,0.685889660325719,0.591048188695159,-0.0948414716305599,0.10653363223016,0.05326681611508,0.132313891327266,0.0175069658381635,0.111216996779602,1.04396137117829,1,-0.682197710347247,0.828878095101726,0.435962616313452,0.249999999999972,0,0.758333333333333,35.5,47,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mar_anchor30",100,"normal_fiml",4,4,0,0.685889660325719,0.661195690739548,-0.0246939695861707,0.0430140223047494,0.0215070111523747,0.0446928038955695,0.00199744672004783,0.067273287018165,1.56398503124264,1,-0.336379060791771,0.672076699791747,0.263706439354459,122.75,121,0.758333333333333,35.5,47,50
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mar_anchor30",100,"pairwise",4,4,0,0.685889660325719,0.610446017362847,-0.0754436429628719,0.0727285906334848,0.0363642953167424,0.0982793426166407,0.00965882918515905,0.0701013489865337,0.963876081963542,1,-0.974628965124662,0.912677249458951,0.274792238562559,0.249999999999972,0,0.758333333333333,35.5,47,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mcar30",100,"cat_em",4,4,0,0.685889660325719,0.644462304366171,-0.0414273559595478,0.0371147397761083,0.0185573698880542,0.0524342803258065,0.00274935375328526,0.0676256163395813,1.82206898788803,1,-0.549978789571837,0.44732918250377,0.265087544915806,1.49999999999995,1.49999999999983,0.744583333333333,13,38,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mcar30",100,"listwise",4,4,0,0.685889660325719,0.635895678809114,-0.0499939815166044,0.113421197439324,0.0567105987196618,0.110216487919504,0.0121476742093101,0.140135983263009,1.23553609401785,1,0.0490820467932053,1.25525884212584,0.549322960267213,0,0,0.744583333333333,13,38,NA
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mcar30",100,"normal_fiml",4,4,0,0.685889660325719,0.689138499526658,0.0032488392009398,0.0187367917567396,0.00936839587836981,0.0165485793999102,0.000273855480155132,0.0565637430050388,3.01885956461532,1,0.0847362613310891,0.365765369278476,0.221725798241311,152.25,157,0.744583333333333,13,38,68.75
"ordinal_twofactor6","Two-factor ordinal, 6 items","twofactor",6,"mcar30",100,"pairwise",4,4,0,0.685889660325719,0.684069711840904,-0.00181994848481479,0.0278062250310983,0.0139031125155492,0.0241495719495696,0.000583201825347438,0.0561651116580799,2.01987546296792,1,0.0197847783431405,0.561106288709138,0.220163192075014,0,0,0.744583333333333,13,38,NA
