"dgp","dgp_label","family","p","dist","mechanism","n","rep","seed","method","truth","estimate","bias","se","elapsed_ms","em_iter","observed_fraction","complete_rows","min_pair_count","error"
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,3,5181803,"pairwise",0.9,0.852284374576519,-0.0477156254234811,NA,0,NA,0.746875,51,82,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,3,5181803,"fiml_sandwich",0.9,0.903884880375961,0.00388488037596135,0.0128649486785204,143,42,0.746875,51,82,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,3,5181803,"fiml_normal",0.9,0.903884880375961,0.00388488037596135,0.013747073477672,144,42,0.746875,51,82,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,3,5181803,"listwise",0.9,0.842726778266567,-0.0572732217334326,0.0332757772066367,5.00000000000034,2,0.746875,51,82,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,4,5181804,"pairwise",0.9,0.877511471604227,-0.0224885283957724,NA,0,NA,0.730208333333333,55,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,4,5181804,"fiml_sandwich",0.9,0.916323517481307,0.0163235174813071,0.0124328754090416,150,47,0.730208333333333,55,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,4,5181804,"fiml_normal",0.9,0.916323517481307,0.0163235174813071,0.0118537339215263,156,47,0.730208333333333,55,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mar_anchor30",160,4,5181804,"listwise",0.9,0.89139316656733,-0.00860683343266955,0.0217926512532663,6.00000000000023,2,0.730208333333333,55,79,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,1,6181801,"pairwise",0.9,0.887029497335094,-0.0129705026649064,NA,0,NA,0.826041666666667,42,60,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,1,6181801,"fiml_sandwich",0.9,0.884573884327364,-0.0154261156726355,0.0137044941862084,50.0000000000003,42,0.826041666666667,42,60,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,1,6181801,"fiml_normal",0.9,0.884573884327364,-0.0154261156726355,0.0152725137526219,48.9999999999999,42,0.826041666666667,42,60,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,1,6181801,"listwise",0.9,0.885396868181279,-0.0146031318187209,0.0230390742358452,5.99999999999978,2,0.826041666666667,42,60,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,2,6181802,"pairwise",0.9,0.902105511946514,0.00210551194651398,NA,0,NA,0.855208333333333,60,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,2,6181802,"fiml_sandwich",0.9,0.905650232807339,0.00565023280733901,0.0122537959612374,41.9999999999998,26,0.855208333333333,60,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,2,6181802,"fiml_normal",0.9,0.905650232807339,0.00565023280733901,0.0121007663643228,48.9999999999999,26,0.855208333333333,60,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,2,6181802,"listwise",0.9,0.916880556980272,0.0168805569802717,0.0152952970778308,6.99999999999967,2,0.855208333333333,60,76,""
"tau6_essential","Essential-tau, 6 items","essential_tau",6,"normal","mcar30",160,3,6181803,"pairwise",0.9,0.899204413639418,-0.000795586360581746,NA,0,NA,0.866666666666667,61,79,""
