"p1_2","p1_3","p1_4","p1_5","p1_6","p2_3","p2_4","p2_5","p2_6","p3_4","p3_5","p3_6","p4_5","p4_6","p5_6","cell","b","wald_stat","wald_df","p_chi","reject_05"
0.838696669086217,0.857231365999515,0.865172417512485,0.81996023002096,0.833554365976365,0.827111135123453,0.834959389187405,0.795193515179933,0.806228671697545,0.864445010763066,0.819184766181614,0.832792155255181,0.824352807652813,0.838038320133456,0.790186088799703,"null",22,14.2073278634781,14,0.434381976778842,FALSE
0.826772912613597,0.820991546526167,0.84837925402593,0.840192621160628,0.863976059786522,0.79870419178391,0.823681215637873,0.820748255639741,0.844590684015348,0.823238274805562,0.825662482566248,0.841489887592151,0.847817380857028,0.8609670277959,0.868802244820366,"null",23,15.3258034474684,14,0.356252097011696,FALSE
0.82618182985073,0.826418560929756,0.816183326495708,0.826178111278099,0.842696868867844,0.836625814192664,0.823678389382233,0.833683849092236,0.839549883941083,0.81322375793799,0.831214133003263,0.837107455671865,0.818286764863074,0.824172545342171,0.831466986255196,"null",24,10.3199000169913,14,0.738441114980902,FALSE
0.840788394283494,0.8224546452321,0.840921469130676,0.809050469843421,0.838558651641858,0.832316413518543,0.858962397205286,0.829615526082347,0.848473369194636,0.837843096980639,0.805984306286109,0.824652271967024,0.827031701845896,0.84855123025081,0.827494191405976,"null",25,8.9199239867907,14,0.836145771532983,FALSE
0.852978012044913,0.84146421464652,0.853397910648741,0.851252454334503,0.866485013623978,0.849499792036076,0.858681827570088,0.856507778361373,0.877249069820729,0.847226617488187,0.850527231220785,0.863060220637373,0.854186468504277,0.861296955060213,0.864515534648797,"null",26,8.33723272166085,14,0.871027588817936,FALSE
0.850226532369791,0.856275185112238,0.8421734059514,0.869184028704762,0.843605036447979,0.850074159745983,0.841177547350626,0.854948667945267,0.837419176008401,0.836643314694603,0.853023703268218,0.846137521222411,0.857616445569185,0.837434774034336,0.845621506521161,"null",27,13.2767690441239,14,0.504855697330561,FALSE
0.849463984258234,0.836088479975924,0.817485922259739,0.807115302186027,0.788677387945516,0.883901764693177,0.873249768074044,0.868073168236327,0.852226013595207,0.854461561681346,0.849301945081323,0.838867344856109,0.828002300469231,0.820266434890845,0.807209301080164,"null",28,37.2642950342741,14,0.000672726511687971,TRUE
0.810572234219314,0.818165041007854,0.778480157765351,0.813053726733317,0.829455014022588,0.842231821297616,0.79146015805695,0.820794369684924,0.850768946917158,0.820785610713762,0.847462151546352,0.869356471753781,0.80485266376114,0.823943661971831,0.864149631030398,"null",29,20.839996271019,14,0.105803617174616,FALSE
0.850367823096679,0.844270804874051,0.836724030957124,0.850475216946867,0.858080151963406,0.866231326985236,0.858531887456675,0.864173249736496,0.866265645554834,0.852570997985137,0.860920217291708,0.852108278649913,0.850565406163226,0.849882635515039,0.861013457167618,"null",30,12.7255539141253,14,0.548238560168105,FALSE
0.83383629122602,0.844576524623902,0.839074787310511,0.833581172125383,0.838846571192213,0.841959488055887,0.847248053082642,0.830978660385154,0.836186199895804,0.839233465161892,0.847043922545189,0.838917525773196,0.836281166966371,0.841530759148241,0.835969474188049,"null",31,12.2305306602773,14,0.587795268772048,FALSE
0.823536017368334,0.820818245516445,0.834124363920444,0.844621492598089,0.848064825674379,0.814915156034571,0.831038496403534,0.844215004780988,0.847722245375565,0.828293017964843,0.854937757552639,0.850326608721682,0.849534362589944,0.866323027729951,0.871536847514238,"null",32,13.8976926422203,14,0.457360603076017,FALSE
0.869538983382528,0.833835458968254,0.861618359716291,0.843257646594637,0.850954972142129,0.817046863309431,0.84229102200856,0.840198478906199,0.845218893070694,0.825557942019821,0.790909732744622,0.809416979313574,0.824252125197378,0.837263421699295,0.813588078282201,"null",33,26.6382180016259,14,0.0214466069851627,TRUE
0.835180571842357,0.840180298293992,0.837344596316397,0.837339304788189,0.816644376375167,0.848085332638866,0.829023643587572,0.839896665508857,0.82721195693258,0.863921139578809,0.866670294685859,0.853832828064097,0.844783922882117,0.845612970677299,0.840263375911717,"null",34,27.0997485246958,14,0.0186866470337464,TRUE
