"marg","b","kappa_F","kappa_BP","delta","se","z","rej_05"
"uniform",142,0.724956326018435,0.725833333333333,-0.000877007314898481,0.000610012066272732,-1.43768847107752,FALSE
"uniform",143,0.723087785400545,0.7235,-0.000412214599455174,0.000419333746907412,-0.983022717573431,FALSE
"uniform",144,0.738652771167916,0.739,-0.000347228832084379,0.000383781516043924,-0.90475652830721,FALSE
"uniform",145,0.740928827391747,0.741,-7.11726082527342e-05,0.000167632505551136,-0.424575221963876,FALSE
"uniform",146,0.717363313758126,0.7175,-0.00013668624187424,0.000236168928439329,-0.578764712096129,FALSE
"uniform",147,0.712838351364143,0.714,-0.00116164863585655,0.000695520534977206,-1.67018596495446,FALSE
"uniform",148,0.73002583014139,0.730166666666667,-0.000140836525276189,0.000240025313189478,-0.586756969107717,FALSE
"uniform",149,0.720429423086265,0.721833333333333,-0.00140391024706843,0.000777302558313168,-1.80613100015401,FALSE
"uniform",150,0.703812805243153,0.704166666666667,-0.000353861423513568,0.000413645087171632,-0.85547111397637,FALSE
"uniform",151,0.740908798951846,0.741166666666667,-0.000257867714821058,0.000334601518483558,-0.77067108359142,FALSE
"uniform",152,0.719471621519073,0.719666666666667,-0.000195045147593831,0.000297339729653571,-0.655967326737928,FALSE
"uniform",153,0.75273930558593,0.752833333333333,-9.40277474036355e-05,0.000195394027436672,-0.481221195126399,FALSE
"uniform",154,0.72126485593541,0.7215,-0.00023514406459002,0.000317915371895775,-0.73964358246606,FALSE
"uniform",155,0.70028712060205,0.7005,-0.000212879397950227,0.000320429624453689,-0.66435616966806,FALSE
"uniform",156,0.724140464602897,0.724666666666667,-0.000526202063769965,0.000494694074310669,-1.06369186755107,FALSE
"uniform",157,0.709832105632231,0.71,-0.000167894367768984,0.000272145606923449,-0.616928451158905,FALSE
"uniform",158,0.733068574800136,0.733833333333333,-0.000764758533197574,0.000546036704443122,-1.40056250243748,FALSE
"uniform",159,0.729047974626663,0.729166666666667,-0.00011869204000392,0.00022510126944631,-0.527282854938453,FALSE
"uniform",160,0.753310337153666,0.753666666666667,-0.000356329513000242,0.000388615935737757,-0.916919457571337,FALSE
"uniform",161,0.702170768210982,0.702333333333333,-0.000162565122351577,0.000264368069880273,-0.614919655105094,FALSE
"uniform",162,0.728025315379187,0.728166666666667,-0.000141351287479274,0.000245984116573157,-0.574635831973467,FALSE
"uniform",163,0.741062683643487,0.7415,-0.000437316356513229,0.000426238384637119,-1.02599008506834,FALSE
"uniform",164,0.727012649025758,0.727333333333333,-0.000320684307575037,0.000374998205522578,-0.855162245718342,FALSE
"uniform",165,0.708893357989116,0.709333333333333,-0.000439975344217025,0.000421299024739372,-1.0443303173778,FALSE
"uniform",166,0.739544514957383,0.740333333333333,-0.000788818375949907,0.000524063275489697,-1.50519682038932,FALSE
"uniform",167,0.732162897246507,0.7325,-0.000337102753493412,0.000369952140750302,-0.911206386884889,FALSE
"uniform",168,0.707836063569003,0.708,-0.000163936430997325,0.000259964983815386,-0.630609663622022,FALSE
"uniform",169,0.733030883207543,0.733166666666667,-0.000135783459124239,0.000232416111837167,-0.584225672010943,FALSE
"uniform",170,0.738370856947999,0.7385,-0.000129143052001068,0.000234576761322335,-0.550536426852663,FALSE
"uniform",171,0.72790267077977,0.7285,-0.000597329220229814,0.000509566422411599,-1.17223033928112,FALSE
"uniform",172,0.72358578644913,0.724333333333333,-0.000747546884203087,0.00056845369166932,-1.31505326670998,FALSE
"uniform",173,0.71935991382365,0.7195,-0.000140086176349752,0.000245535093231924,-0.570534234051144,FALSE
"uniform",174,0.744909173976506,0.745333333333333,-0.000424159356826936,0.00041014513356415,-1.03416893708089,FALSE
"uniform",175,0.736517066912436,0.736666666666667,-0.000149599754230789,0.000251025114203076,-0.595955327839289,FALSE
"uniform",176,0.706298697734778,0.707166666666667,-0.000867968931888896,0.000625044981350264,-1.3886503496338,FALSE
