"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad"
113,0.703825309219628,0.669891093598556,0.630295562086595,0.0151466944665608,0.0187308536655241,0.0253556968834432,0.903625413086024,0.751947692518082,0.95622037165514,0.073529747133033,0.0171684357211886
114,0.716558766874242,0.695954000475272,0.678734678296726,0.0130393472044484,0.0155385284276877,0.0211874210846601,0.865152631375395,0.649536887674867,0.935978679091916,0.0378240885775167,0.0161256346880952
115,0.719347420504001,0.684706721281571,0.647537199815658,0.0140145765122849,0.0181148954949181,0.0262566906625889,0.883512458467328,0.699993252207935,0.947069676238695,0.0718102206883423,0.0192525365880886
116,0.732026216768459,0.706441926016873,0.683788816411794,0.0152945463444824,0.0177806801880514,0.023739512384547,0.876421588678836,0.672486443824244,0.938401876787109,0.0482374003566659,0.0175826055493582
117,0.718195735648957,0.690855182602888,0.664013074338493,0.0132232349676549,0.0157339072860926,0.0219333454424838,0.847096161249577,0.601675005356572,0.923675133269186,0.0541826613104637,0.0175190823373365
118,0.691524063257847,0.66736585669588,0.644456034167282,0.0144187878188839,0.0181798020523619,0.0247512712721531,0.885861309566198,0.718786209296179,0.952746334599836,0.0470680290905654,0.0175351430484395
119,0.708706387364582,0.685378934514456,0.661572796347405,0.0126096734287397,0.0148303563609358,0.020346357796838,0.833653527923343,0.559852946871992,0.913726928110364,0.0471335910171767,0.0169028209833113
120,0.724463913909484,0.676639309683291,0.633983193128408,0.0120355377507068,0.0150873533560034,0.0222815591521392,0.81977234502728,0.551220250677302,0.917998423976515,0.0904807207810763,0.0185924709402814
121,0.707412899346454,0.679252102786099,0.649286605363815,0.0138532455886359,0.0172414379081548,0.025203525951094,0.842334811538954,0.612922986737279,0.934608626139881,0.0581262939826392,0.019978118881
122,0.711164513583266,0.67359628296074,0.634117084707263,0.0142101829017053,0.0175830255016755,0.0243072864807214,0.88039434746908,0.683638747951746,0.94035912451906,0.0770474288760036,0.017902536277157
123,0.718509244889484,0.69398097311918,0.668749125210409,0.0146212230631037,0.016916808310034,0.0221255525070994,0.884107011384317,0.671407469996434,0.932744602347056,0.049760119679075,0.0163986603527635
124,0.700400779500398,0.666391797002813,0.63714055598576,0.0141236404543482,0.0176864136491135,0.02467308093772,0.865259945448457,0.648378964904117,0.934201858066013,0.0632602235146382,0.0188772899970144
125,0.713014342471224,0.671838039450855,0.629464628332151,0.0131367343145252,0.0171190775133283,0.024868503118612,0.86732872518275,0.668922918030327,0.940969236091827,0.0835497141390734,0.0188136692626832
126,0.731118911494684,0.706202260422971,0.679569376794379,0.0130427850532212,0.0158310241142568,0.0227865165491003,0.805866828839468,0.535349933383207,0.924783846447345,0.0515495347003053,0.019264681833703
127,0.720952501270519,0.683571688060304,0.64700570682981,0.013148713963229,0.0172262924208809,0.0247502157473608,0.859563270767873,0.665591065133576,0.946567457103763,0.0739467944407091,0.0187683400651111
128,0.683622944626474,0.651482038388721,0.620574808089086,0.0132235838965737,0.0171955737680329,0.0252163279705799,0.842270513301297,0.621392092086657,0.937602686993961,0.0630481365373882,0.0199077798165081
129,0.725818215698916,0.70649718486582,0.689358515122405,0.0143609822121148,0.0168202325023796,0.0221443890836885,0.87083456925572,0.659443269696401,0.936220769854542,0.0364597005765117,0.0166488990854372
130,0.691961269665146,0.656636943751849,0.622730715733728,0.0132668821321961,0.0172616381079693,0.0255564132371732,0.841208417668965,0.593390832181986,0.92589885934698,0.0692305539314186,0.020658108360476
131,0.706098301099638,0.678594148863353,0.649795652834844,0.0129090713878995,0.0166331253167101,0.0240172061713066,0.863939185964601,0.659992909089815,0.940890601113921,0.0563026482647944,0.018281743325453
132,0.704181698801901,0.693052052624597,0.682783203259484,0.013809191432279,0.0157819579878536,0.0212311932600667,0.863038994152744,0.622736199407249,0.924160633036366,0.0213984955424164,0.0166223568637067
133,0.716275692067412,0.700170061844343,0.679789589762127,0.0132684540193763,0.015309593065247,0.020911239702105,0.853988134728567,0.62435697839382,0.93020219427243,0.036486102305285,0.0163359684491055
134,0.710625476354985,0.688495474300023,0.664343545926207,0.0130027136440722,0.0163178453944997,0.0229832768668532,0.842189580641878,0.629179525328095,0.941581724084509,0.0462819304287785,0.0179233732259625
135,0.727912728669841,0.703930623846311,0.682611528046812,0.0137505605437613,0.0173827592411358,0.024288052484241,0.883128594586171,0.701962011263168,0.947242249821525,0.045301200623029,0.0176100203089625
136,0.699483345939275,0.677085347772836,0.654039218649202,0.0128248427618017,0.0165577623737159,0.0240170717445695,0.820798308052769,0.581444293462529,0.93422423223813,0.0454441272900732,0.0195731704826006
137,0.68621645998697,0.65333644041443,0.616318735313427,0.012803835181452,0.0162024221912062,0.0243282223524682,0.810208004935424,0.563926624120189,0.93306974292892,0.0698977246735435,0.0201116995550924
138,0.710740915204998,0.687861746299823,0.662389373426788,0.0148663858246166,0.0194365008210745,0.0269090835197463,0.881066333483481,0.720103319160528,0.956586442975013,0.0483515417782098,0.0192085075416211
139,0.722841148033311,0.694587685524241,0.663169503160129,0.0125242363916583,0.0158065522826948,0.0228924340092798,0.834787790477442,0.605527891977223,0.935351206080071,0.0596716448731823,0.0182674004524489
140,0.717461351096972,0.702125702358847,0.685608453988234,0.0147400387915783,0.0182659765644335,0.024300368212251,0.901915015636122,0.744150101767278,0.952663320879481,0.0318528971087386,0.0165736180331069
141,0.676633244908053,0.64303946823229,0.605474504952165,0.0146582212210955,0.0190858843599322,0.0273257601333099,0.883499695473609,0.707475026462648,0.950793572881656,0.0711587399558882,0.0198697399311216
