"cell","b","kappa_AC","kappa_IPW","delta","se","z","boot_var_AC","boot_var_IPW","boot_cov","reject_05"
"null",78,0.841107424404022,0.840383447576733,0.000723976827289197,0.0013942481122556,0.519259679052358,0.000232273604864865,0.000236854521868565,0.000233592099467451,FALSE
"null",79,0.834646779545122,0.8353952668222,-0.000748487277077881,0.00106230562128066,-0.704587514255588,0.000201744081078099,0.000199713463796703,0.000200164525820899,FALSE
"null",80,0.867604928364911,0.868307095128447,-0.000702166763535739,0.000944436957816355,-0.743476584354797,0.000200278002414553,0.000197051547777354,0.000198218794512309,FALSE
"null",81,0.821877636401953,0.82183070854098,4.69278609732671e-05,0.000937663498725638,0.0500476567948373,0.000240595969584647,0.000242117097012301,0.000240916926880053,FALSE
"null",82,0.816600328289112,0.816113809923514,0.000486518365598099,0.000859203127253693,0.566243709043725,0.000299060138915044,0.000300291854510777,0.000299306881705969,FALSE
"null",83,0.845851692734839,0.846189462993061,-0.000337770258222236,0.00081771119782986,-0.413067913364342,0.000172279196509583,0.00017037314867691,0.000170991846791718,FALSE
"null",84,0.848039332763791,0.847619332524461,0.000420000239329865,0.000818547118303025,0.5131045359986,0.000197299538443195,0.000199408538859222,0.000198019028958767,FALSE
"null",85,0.853330742814352,0.85343410056464,-0.000103357750287247,0.000952764965520123,-0.108481896404349,0.000209962184713679,0.000208336019434303,0.00020869522153423,FALSE
"null",86,0.844947755854649,0.845596271763033,-0.000648515908384439,0.00089501441962618,-0.724587106267299,0.000214218547428752,0.000210720755838427,0.00021206912622792,FALSE
"null",87,0.815353081411069,0.815360867743197,-7.78633212838997e-06,0.000989038010370518,-0.00787263183694327,0.000250314288919579,0.000248829306807333,0.000249082699770478,FALSE
"null",88,0.848400742735911,0.848590613043303,-0.00018987030739126,0.000985054148609292,-0.192751137243897,0.000232094088223133,0.000234817676526465,0.000232970716536953,FALSE
"null",89,0.877849171916213,0.877903395968069,-5.42240518555115e-05,0.000592138678067147,-0.0915732308392843,0.000146907042162933,0.000148793462548325,0.000147674938248598,FALSE
"null",90,0.830953936197254,0.830731371143376,0.000222565053877744,0.00086506001735479,0.257282788954124,0.000264799477732818,0.000264658426961472,0.000264354787930332,FALSE
"null",91,0.873167793254255,0.873706118377725,-0.000538325123469852,0.000793086589753666,-0.678772192626604,0.000178499160172793,0.000180251752668006,0.000179060963250976,FALSE
"null",92,0.84840559495842,0.848853149476071,-0.000447554517650772,0.000877033615637758,-0.510304861376746,0.000220150132658894,0.000221748770682902,0.000220564857689418,FALSE
"null",93,0.846761813744849,0.846473736638964,0.00028807710588441,0.00100131539050862,0.287698669784832,0.000259392394933476,0.000262290585548991,0.000260340173985599,FALSE
"null",94,0.830951351445378,0.831411829835038,-0.00046047838965968,0.000733707002856069,-0.627605280946203,0.00021708850459558,0.000215341633869326,0.000215945906249433,FALSE
"null",95,0.821408712045011,0.820962093116839,0.000446618928171993,0.000734761486376284,0.607842050043532,0.000196376370677752,0.000197241078316351,0.000196538787276121,FALSE
"null",96,0.833547246170951,0.833420896512281,0.000126349658670866,0.000717689014978511,0.176050707247691,0.00024620335472752,0.000244965922854982,0.000245327100030141,FALSE
"null",97,0.844342768043878,0.844486861066012,-0.000144093022133251,0.000768251400494371,-0.187559725944564,0.000213304336699198,0.000214814868821229,0.000213764497653033,FALSE
"null",98,0.843323812838294,0.842805083024659,0.000518729813634766,0.00113959000212607,0.455189860096174,0.000282037426714415,0.000285722654251103,0.000283230707796286,FALSE
"null",99,0.816993237901536,0.816459263555382,0.000533974346153876,0.000839994497238679,0.635687909753235,0.000245123967951535,0.000248552090833196,0.00024648523401467,FALSE
"null",100,0.862180186703939,0.86257568121823,-0.000395494514290662,0.000745465841759352,-0.530533382129578,0.000200430678000803,0.000197562309370814,0.000198718634025193,FALSE
"null",101,0.82295137228361,0.82305168192344,-0.000100309639830432,0.000845162588860892,-0.118686796070362,0.00020037581624391,0.000201074535038175,0.000200368025740237,FALSE
"null",102,0.854921149097262,0.853582051306027,0.00133909779123509,0.000912704841483069,1.46717507169039,0.000186954487452747,0.000188935389405109,0.000187528423365095,FALSE
"null",103,0.821634837873841,0.821608988845668,2.58490281725976e-05,0.000752062166568372,0.034370866294931,0.000273761443754699,0.000276269767643324,0.00027473280694782,FALSE
"null",104,0.822994638046992,0.823025027072544,-3.03890255527461e-05,0.000820773018964586,-0.0370248836774413,0.000278636647533199,0.000278925938367341,0.00027844445877594,FALSE
"null",105,0.818453518361453,0.818941354829821,-0.000487836468367919,0.000783136274358733,-0.622926665946334,0.000242291978503753,0.000236805842183477,0.000239242259131507,FALSE
"null",106,0.838934887020414,0.840003312564923,-0.00106842554450837,0.0010166694423907,-1.05090750243852,0.000222644929453575,0.000220720353150526,0.000221165832924505,FALSE
"null",107,0.816128657505473,0.816484794379767,-0.000356136874293478,0.00113524021699078,-0.313710586502567,0.000287927775014974,0.00028311654983501,0.000284877777249856,FALSE
