"spec","mechanism","n","b","method","truth","est","observed_fraction"
"anchor_moderate","anchor",500,114,"available",0.666931633438082,0.682439219210992,0.8
"anchor_moderate","anchor",500,115,"available",0.666931633438082,0.700604656556934,0.796
"anchor_moderate","anchor",500,116,"available",0.666931633438082,0.706959157497051,0.8055
"anchor_moderate","anchor",500,117,"available",0.666931633438082,0.716495787239428,0.7625
"anchor_moderate","anchor",500,118,"available",0.666931633438082,0.697404079333416,0.7925
"anchor_moderate","anchor",500,119,"available",0.666931633438082,0.685586675140364,0.7885
"anchor_moderate","anchor",500,120,"available",0.666931633438082,0.690994278588387,0.7825
"anchor_moderate","anchor",500,1,"ipw",0.666931633438082,0.704322299510974,0.7845
"anchor_moderate","anchor",500,2,"ipw",0.666931633438082,0.689045861886679,0.7985
"anchor_moderate","anchor",500,3,"ipw",0.666931633438082,0.677412073995411,0.7955
"anchor_moderate","anchor",500,4,"ipw",0.666931633438082,0.673891612230599,0.7745
"anchor_moderate","anchor",500,5,"ipw",0.666931633438082,0.725537370558546,0.7895
"anchor_moderate","anchor",500,6,"ipw",0.666931633438082,0.682314292434218,0.797
"anchor_moderate","anchor",500,7,"ipw",0.666931633438082,0.68198047007513,0.7865
"anchor_moderate","anchor",500,8,"ipw",0.666931633438082,0.698201425449585,0.795
"anchor_moderate","anchor",500,9,"ipw",0.666931633438082,0.707098681754908,0.7835
"anchor_moderate","anchor",500,10,"ipw",0.666931633438082,0.705781052921106,0.801
"anchor_moderate","anchor",500,11,"ipw",0.666931633438082,0.674549018309202,0.7965
"anchor_moderate","anchor",500,12,"ipw",0.666931633438082,0.703371300270051,0.802
"anchor_moderate","anchor",500,13,"ipw",0.666931633438082,0.657509040232605,0.7905
"anchor_moderate","anchor",500,14,"ipw",0.666931633438082,0.698825763106468,0.7825
"anchor_moderate","anchor",500,15,"ipw",0.666931633438082,0.692670642052727,0.7875
"anchor_moderate","anchor",500,16,"ipw",0.666931633438082,0.680541063020266,0.815
"anchor_moderate","anchor",500,17,"ipw",0.666931633438082,0.698985004186119,0.79
"anchor_moderate","anchor",500,18,"ipw",0.666931633438082,0.735154317200696,0.797
"anchor_moderate","anchor",500,19,"ipw",0.666931633438082,0.702397288555342,0.7655
"anchor_moderate","anchor",500,20,"ipw",0.666931633438082,0.675538785419479,0.796
"anchor_moderate","anchor",500,21,"ipw",0.666931633438082,0.693618351060083,0.786
"anchor_moderate","anchor",500,22,"ipw",0.666931633438082,0.741713245834129,0.7905
"anchor_moderate","anchor",500,23,"ipw",0.666931633438082,0.713456795799063,0.777
"anchor_moderate","anchor",500,24,"ipw",0.666931633438082,0.688309918660758,0.789
"anchor_moderate","anchor",500,25,"ipw",0.666931633438082,0.734445710257063,0.785
"anchor_moderate","anchor",500,26,"ipw",0.666931633438082,0.675673887477528,0.789
"anchor_moderate","anchor",500,27,"ipw",0.666931633438082,0.707390705616422,0.768
"anchor_moderate","anchor",500,28,"ipw",0.666931633438082,0.702836751475228,0.807
"anchor_moderate","anchor",500,29,"ipw",0.666931633438082,0.708413433752097,0.7815
"anchor_moderate","anchor",500,30,"ipw",0.666931633438082,0.665580102568351,0.78
"anchor_moderate","anchor",500,31,"ipw",0.666931633438082,0.711293323431802,0.779
"anchor_moderate","anchor",500,32,"ipw",0.666931633438082,0.68826965599269,0.786
"anchor_moderate","anchor",500,33,"ipw",0.666931633438082,0.685415943129968,0.7785
