"rate","b","alpha_A","alpha_B","diff","se_dep","corr","chisq_dep","reject_05"
0.25,81,0.761384365727421,0.809805026283863,-0.0484206605564417,0.0222282344234826,0.301214588244013,4.74516679852874,TRUE
0.25,82,0.760042208557775,0.800404417527832,-0.040362208970057,0.0217014894679342,0.367927712405663,3.45916094001734,FALSE
0.25,83,0.753895978968525,0.797859983738981,-0.0439640047704559,0.0239249603416794,0.254443815710632,3.37669659210951,FALSE
0.25,84,0.760853897615844,0.806362313771179,-0.0455084161553349,0.0229668783284298,0.319568875874251,3.92626404039381,TRUE
0.25,85,0.752528289778708,0.809172744844843,-0.0566444550661354,0.023700989580681,0.306216491055836,5.71191646688077,TRUE
0.25,86,0.769118830812023,0.803603496187884,-0.0344846653758607,0.0202652045988715,0.338766338310979,2.8956765343243,FALSE
0.25,87,0.787395909116429,0.817242551169586,-0.0298466420531578,0.0207021869155262,0.327126842783437,2.0785405595789,FALSE
0.25,88,0.766724435479883,0.79441832652309,-0.0276938910432073,0.022328519709529,0.297799981301253,1.53832498689302,FALSE
0.25,89,0.761448713620274,0.798757062487993,-0.0373083488677195,0.0220726569807882,0.334404407026908,2.85695125080629,FALSE
0.25,90,0.759617962529538,0.807533846849208,-0.0479158843196692,0.0226463209796716,0.357483400093143,4.47675882533559,TRUE
0.25,91,0.765754204597422,0.802822648779247,-0.0370684441818246,0.0226876593759955,0.396842726162856,2.66949634400213,FALSE
0.25,92,0.763775941859028,0.804380132826515,-0.0406041909674872,0.0239508995214943,0.359922646152618,2.87407479275168,FALSE
0.25,93,0.731822254050474,0.80089574746531,-0.0690734934148362,0.022921224785273,0.342596685906511,9.08128283280309,TRUE
0.25,94,0.781422625836782,0.803462582381288,-0.022039956544506,0.0224653715833923,0.328703902464288,0.962485632091042,FALSE
0.25,95,0.758830253905836,0.815749100117723,-0.0569188462118863,0.0231554553466888,0.304334076997774,6.0423450840891,TRUE
0.25,96,0.780692218000982,0.801301431818217,-0.0206092138172352,0.0217158645426622,0.332363782340037,0.900676024094287,FALSE
0.25,97,0.763253976083145,0.800379716743319,-0.0371257406601738,0.0230664765656557,0.29814703178465,2.59052466779957,FALSE
0.25,98,0.767213592159359,0.802875515901325,-0.0356619237419661,0.0235946658879267,0.261706925731852,2.28445112116299,FALSE
0.25,99,0.769272439255833,0.802122355640711,-0.0328499163848778,0.0197291814747574,0.353544787030184,2.7723649636767,FALSE
0.25,100,0.767785625152839,0.801602195474108,-0.0338165703212692,0.0214744109670627,0.351392491230093,2.47979967240727,FALSE
0.25,101,0.767293284484669,0.814925560835619,-0.0476322763509505,0.0217410212017434,0.36354440717465,4.80001721379501,TRUE
0.25,102,0.773678219735276,0.812233541076705,-0.0385553213414291,0.0204009354386586,0.344576782979654,3.57164668760799,FALSE
0.25,103,0.753287571272748,0.803208637347701,-0.0499210660749531,0.0233482158712852,0.298230767909878,4.57151661356014,TRUE
0.25,104,0.761480790191341,0.802037556073317,-0.040556765881976,0.0216024929477293,0.359869996114039,3.52467345247716,FALSE
0.25,105,0.741962319166149,0.812847542686447,-0.0708852235202984,0.0223371347623619,0.325670626586761,10.0706266957747,TRUE
0.25,106,0.751103734592805,0.808048715131414,-0.0569449805386092,0.0223384177574756,0.343378751613543,6.49839461928435,TRUE
0.25,107,0.743218334339155,0.806998131451298,-0.063779797112143,0.0230137395349952,0.31529948844958,7.68054220069776,TRUE
0.25,108,0.771379693588103,0.816941919056976,-0.0455622254688732,0.021344829274813,0.383784197520911,4.5564277353057,TRUE
0.25,109,0.767629244642541,0.801157526639952,-0.0335282819974111,0.0219031245460224,0.322837594084211,2.34320591961025,FALSE
0.25,110,0.760083104492236,0.803171462813351,-0.043088358321115,0.0223647850449426,0.321864974750429,3.71185017920424,FALSE
0.25,111,0.772329702103547,0.813251715821134,-0.0409220137175865,0.0213452478435207,0.301677574594484,3.67545905944881,FALSE
0.25,112,0.777835566874694,0.807040813263953,-0.0292052463892598,0.0224176291682834,0.238504077834567,1.69723659562538,FALSE
0.25,113,0.767475162801515,0.808531734020204,-0.0410565712186888,0.0217340052825541,0.323526320888448,3.56850095697381,FALSE
0.25,114,0.749090222373517,0.80144051095947,-0.0523502885859524,0.0218079929785325,0.363499882387816,5.76244459704429,TRUE
0.25,115,0.770800743099472,0.796052820973575,-0.0252520778741029,0.0213897012823817,0.309252609856163,1.39374974511756,FALSE
0.25,116,0.76839667812854,0.809816192349465,-0.0414195142209245,0.0226311287699629,0.288047625493656,3.34963565430612,FALSE
0.25,117,0.77111923483206,0.80171010053991,-0.0305908657078501,0.025085315272202,0.256117540256804,1.48711449854387,FALSE
0.25,118,0.768136311910204,0.801322187197612,-0.0331858752874072,0.0239425555561304,0.260437966408578,1.92116889230509,FALSE
0.25,119,0.748229928082066,0.804985016161812,-0.0567550880797467,0.0215464838602012,0.372423839827566,6.93835932227208,TRUE
0.25,120,0.768503238283529,0.803286213223902,-0.0347829749403739,0.0235950190729706,0.363530215377997,2.17316540225976,FALSE
0.25,121,0.768875132709925,0.812395312896428,-0.0435201801865031,0.0226303293983773,0.281743191425428,3.69827855127938,FALSE
0.25,122,0.757500416867182,0.798938442195489,-0.0414380253283071,0.0223943285863579,0.352855366305878,3.42390740011531,FALSE
0.25,123,0.757096430479605,0.800402936363599,-0.0433065058839935,0.0228229359605948,0.301656417336163,3.6005037389656,FALSE
0.25,124,0.7497678680055,0.800422148898076,-0.0506542808925758,0.0228363693656166,0.428779967201238,4.9201482742638,TRUE
0.25,125,0.77868163154647,0.800547516600161,-0.0218658850536914,0.0223820018085356,0.3533271315403,0.95441282922173,FALSE
0.25,126,0.766659961229448,0.793949016273833,-0.0272890550443845,0.0222646992896325,0.33725077106529,1.50225385431993,FALSE
0.25,127,0.76584203588466,0.807259280138601,-0.0414172442539403,0.0228471350162338,0.264311689045114,3.2862371586227,FALSE
0.25,128,0.758925107519402,0.810244910396199,-0.0513198028767962,0.0228659382878926,0.33588425219854,5.03723143573142,TRUE
0.25,129,0.753213092183925,0.800931321532818,-0.0477182293488924,0.0228635603524425,0.306856295781377,4.35593027672031,TRUE
0.25,130,0.787301702969371,0.785506785795694,0.00179491717367775,0.0218325276808357,0.319624974549565,0.00675897417163665,FALSE
0.25,131,0.765876901984958,0.803908632824133,-0.0380317308391745,0.0232619078508343,0.315792812317563,2.67301576136933,FALSE
0.25,132,0.759038923583392,0.793011667600113,-0.0339727440167211,0.0219825139157001,0.386525468215954,2.38839712631304,FALSE
0.25,133,0.780877094882252,0.804084201196587,-0.0232071063143351,0.0235122997923031,0.29347791559082,0.974208159121896,FALSE
0.25,134,0.761432361153892,0.790688898681011,-0.0292565375271181,0.023331534351288,0.340786015672984,1.57238630585097,FALSE
0.25,135,0.770773285548271,0.798948770567007,-0.0281754850187357,0.0222106597406194,0.286298984443893,1.60923653442785,FALSE
0.25,136,0.769864588749867,0.804286720246881,-0.0344221314970138,0.0204437921572673,0.358581968248539,2.83499700614182,FALSE
0.25,137,0.743629684193272,0.805115197014316,-0.0614855128210434,0.021113967107725,0.376752845853912,8.48019654410643,TRUE
0.25,138,0.760693653456272,0.802899089567953,-0.0422054361116808,0.024299214133545,0.261631607319837,3.01684034958842,FALSE
0.25,139,0.757061372757378,0.792843593287845,-0.035782220530467,0.0230097537927161,0.334795946190981,2.41830254333177,FALSE
0.25,140,0.760971848719588,0.803530786433702,-0.0425589377141147,0.0215963228318727,0.338412491159886,3.88348772525254,TRUE
0.25,141,0.75658806882537,0.796598924669157,-0.0400108558437872,0.0232608688074067,0.295682741268011,2.95871966750169,FALSE
0.25,142,0.770320480855077,0.798530225071617,-0.0282097442165399,0.021939677544679,0.359491642116174,1.65324727700158,FALSE
