"index","eigenvalue","relative","retained_at_info_rcond"
235,1619326.98663669,0.00801198599530372,TRUE
236,1607529.65084362,0.00795361601201068,TRUE
237,1592646.68442391,0.00787997917429519,TRUE
238,1589721.13865192,0.00786550437584665,TRUE
239,1574180.91947253,0.00778861563166055,TRUE
240,1552205.0598501,0.00767988510287751,TRUE
241,1536294.66323062,0.00760116482220103,TRUE
242,1527464.61611944,0.00755747616983095,TRUE
243,1524246.45551236,0.00754155359339805,TRUE
244,1492503.40601994,0.00738449768678977,TRUE
245,1461419.79596251,0.00723070450572209,TRUE
246,1444096.25895221,0.00714499239380087,TRUE
247,1413094.36955258,0.00699160354414447,TRUE
248,1412575.72103934,0.00698903741348718,TRUE
249,1389435.39154547,0.00687454540701682,TRUE
250,1357444.81633722,0.00671626481102521,TRUE
251,1347129.12478496,0.00666522559724648,TRUE
252,1312524.93592577,0.00649401355742585,TRUE
253,1308871.55349219,0.00647593762271045,TRUE
254,1267273.52247058,0.00627012196921503,TRUE
255,1241215.53630212,0.00614119419738739,TRUE
256,1226235.25611395,0.00606707587782388,TRUE
257,1218490.35635015,0.00602875623703812,TRUE
258,1204360.68762474,0.00595884650979927,TRUE
259,1153157.38025833,0.00570550658221308,TRUE
260,1146827.2150039,0.00567418665993363,TRUE
261,1127272.09580685,0.00557743329113524,TRUE
262,1098495.90534731,0.00543505658966441,TRUE
263,1091064.61647626,0.00539828860960033,TRUE
264,1082854.69266809,0.00535766815732823,TRUE
265,1068306.04231895,0.00528568542387797,TRUE
266,1061429.21033866,0.00525166074450633,TRUE
267,1058390.94255929,0.00523662822846777,TRUE
268,1046510.39921734,0.00517784655703399,TRUE
269,1032391.90720122,0.00510799212908867,TRUE
270,1004796.16662249,0.00497145597001063,TRUE
271,935024.06234649,0.00462624272590651,TRUE
272,880149.233091536,0.00435473711455464,TRUE
273,873486.401114871,0.00432177124853336,TRUE
274,860296.990162993,0.00425651365898856,TRUE
275,811590.634614254,0.0040155279644629,TRUE
276,808492.831818391,0.00400020088548412,TRUE
277,711867.357700785,0.00352212452919009,TRUE
278,704439.599940096,0.00348537402009202,TRUE
279,685147.551748756,0.0033899222545096,TRUE
280,635436.305873966,0.00314396463813889,TRUE
281,480503.368252995,0.00237739893728023,TRUE
282,461854.171909773,0.00228512782640602,TRUE
283,458888.653943291,0.00227045525649744,TRUE
284,350854.28074125,0.00173593079525571,TRUE
285,286120.107495906,0.00141564385275469,TRUE
286,204653.85726742,0.00101257118039949,TRUE
287,175842.804118756,0.000870021987900395,TRUE
288,169065.269554351,0.000836488604920421,TRUE
289,165628.861502703,0.000819486199963817,TRUE
290,145283.549922413,0.000718823175882475,TRUE
291,125050.424455144,0.00061871521793281,TRUE
292,86122.94386304,0.00042611271583768,TRUE
293,82198.1083656387,0.000406693705780692,TRUE
294,65192.3867290662,0.000322554057200364,TRUE
295,63960.9647815307,0.000316461318995305,TRUE
296,55204.8262520646,0.000273138346025695,TRUE
297,49301.0420119685,0.000243928040113861,TRUE
298,42443.689461449,0.000209999739620498,TRUE
299,21503.2953144257,0.000106392410139406,TRUE
300,246.769434115753,1.22094750876157e-06,FALSE
301,89.5560188375939,4.43098629642577e-07,FALSE
302,8.45277969845828,4.1822036638873e-08,FALSE
303,3.17890111534516e-09,1.572833123068e-17,FALSE
304,-6.22460035715639e-10,-3.07976161080855e-18,FALSE
