"cell","b","kappa_AC","kappa_IPW","delta","se","z","var_AC","var_IPW","cov_AC_IPW","reject_05"
"null",41,0.846730058526431,0.847083865571967,-0.000353807045536225,0.00036219942219403,-0.976829403517633,0.000237950809548201,0.000237825535421296,0.000237822578274029,FALSE
"null",42,0.831516758782781,0.830684252454215,0.000832506328565907,0.00046122345014662,1.80499566598632,0.000259289556233571,0.000262026592544301,0.000260551710853453,FALSE
"null",43,0.85772715916512,0.858289981174431,-0.000562822009311015,0.000319555885376192,-1.76126316261846,0.000202308305638743,0.000201495105495574,0.000201850647585219,FALSE
"null",44,0.847911559392407,0.848144701768958,-0.000233142376550366,0.000447587091465825,-0.520887177033718,0.000215151011275486,0.000215056850806333,0.000215003763938686,FALSE
"null",45,0.837477615699879,0.837382515466865,9.51002330130679e-05,0.000446911074053648,0.212794532367421,0.000224295038393896,0.000224883651822017,0.0002244894803539,FALSE
"null",46,0.851358874861245,0.850985468640283,0.000373406220962491,0.000349244469520536,1.06918291784298,0.000197645236075083,0.00019895060417132,0.000198236934273456,FALSE
"null",47,0.825870391253478,0.826079629661638,-0.000209238408160339,0.000608242187743613,-0.344005089381498,0.000227831418586498,0.000228208231374826,0.000227834845701186,FALSE
"null",48,0.831886778012574,0.831595142144445,0.000291635868128859,0.000549681178879355,0.530554582064138,0.000246313682520412,0.000246227467571788,0.000246119500346893,FALSE
"null",49,0.856509693663491,0.856778884814203,-0.000269191150711445,0.000362809687140512,-0.741962412396091,0.000189376327166646,0.000189079221004141,0.000189161958650852,FALSE
"null",50,0.833497212034371,0.833258326791295,0.000238885243075582,0.000371734188206383,0.642623817379303,0.000249809282239106,0.000250431606222473,0.000250051351077449,FALSE
"null",51,0.816911210416726,0.817378668633265,-0.000467458216538819,0.000640023703987048,-0.730376412040324,0.00025422902273812,0.000252723277593721,0.000253271334995088,FALSE
"null",52,0.82472534240911,0.824373090213565,0.000352252195545244,0.000334469631567749,1.05316645309215,0.000238369018136334,0.000239295922888538,0.000238776535545215,FALSE
"null",53,0.833575728623628,0.834042402646301,-0.000466674022673308,0.00056807668301373,-0.821498288219707,0.000223232582957359,0.000223297272085941,0.000223103571962758,FALSE
