"b","kappa_id","kappa_lin","kappa_quad","se_id","se_lin","se_quad","cor_id_lin","cor_id_quad","cor_lin_quad","delta_id_quad","se_id_quad","reject_id_eq_quad"
11,0.70402729577527,0.666773884090048,0.626917847950642,0.0133090467965531,0.0175955455950109,0.0256165371832971,0.849860624094828,0.649646513733675,0.944994876208444,0.0771094478246284,0.0197577208568789,TRUE
12,0.698916883275784,0.666563128223543,0.632954320226113,0.0136088299212552,0.0172176170644057,0.0242696751363102,0.871997732660385,0.680545734750236,0.944545044400245,0.065962563049671,0.0180186995105353,TRUE
13,0.728335570252745,0.696126065902532,0.666796036500687,0.0133181706645425,0.0169980958904661,0.0239263119020738,0.870269831981956,0.670517446217443,0.941352726042762,0.0615395337520579,0.0179587024213778,TRUE
14,0.706073666561953,0.688697878464637,0.669581294884823,0.0131187311973685,0.0159951381732544,0.0221542634173094,0.855942245221722,0.644269545799481,0.93874159772118,0.0364923716771297,0.0169828405085256,TRUE
15,0.685308992935106,0.663897466750649,0.64441202371519,0.0138378426564948,0.0168446339195099,0.0229344445015358,0.860722977877692,0.656504463795103,0.941628739033224,0.0408969692199168,0.0173428335023205,TRUE
16,0.718575398280923,0.683144761867669,0.651915207723642,0.0136568769193173,0.017672523034435,0.0246184315307663,0.869141672917471,0.683213241970515,0.947609788868435,0.0666601905572809,0.0182529448257089,TRUE
17,0.690549869078791,0.672224497582578,0.655887155016548,0.0135180255497433,0.0166054128960796,0.0231264182709331,0.848874454087392,0.627657086402738,0.936822274652382,0.0346627140622431,0.0180312925246236,FALSE
18,0.714421058305582,0.696785128445443,0.679862679025065,0.0133954505695113,0.0162240562237261,0.0226683195761385,0.852778240565202,0.629957579971116,0.93452594169648,0.0345583792805165,0.0176270985626004,TRUE
19,0.695336768408307,0.666643147319213,0.637169884184307,0.0136678498720306,0.017119204592955,0.0237095957182063,0.865743632696545,0.664589097039933,0.942211152413228,0.0581668842240003,0.0178387957531317,TRUE
20,0.691468395102608,0.674667271604162,0.658349794011092,0.0143509828637223,0.0170102060284054,0.0226490712215654,0.8758034944266,0.678430726161708,0.941850944360328,0.0331186010915157,0.0166703848138923,TRUE
21,0.699225387541891,0.690935098845561,0.68240780998755,0.0126360586383387,0.0156858529768176,0.02179737612866,0.852676745437833,0.644785637795536,0.940945409528667,0.0168175775543407,0.0167213994106759,FALSE
22,0.691729658222935,0.658511307842129,0.621883419521454,0.0133707432906095,0.0166817193554746,0.0235645096760734,0.855783680292262,0.640831117340053,0.936776174448111,0.0698462387014804,0.0181725934159107,TRUE
23,0.705186983358165,0.6739276362363,0.643886999983785,0.0135141926762618,0.017277814322618,0.0244222074209096,0.865620337299567,0.666231573775887,0.942204556968253,0.0612999833743795,0.018420177301328,TRUE
24,0.711875196693678,0.686133252983446,0.656796207916184,0.013613945742457,0.0172362987886747,0.0248384222727107,0.858561513333486,0.646470301032463,0.93863569641975,0.0550789887774938,0.0191070734143897,TRUE
25,0.716141213699068,0.673557747624209,0.628211075075165,0.0131165451658772,0.0168809154066565,0.0243354977709866,0.857849891072597,0.646024467406373,0.937648900171363,0.0879301386239023,0.0187574310041763,TRUE
26,0.71177290544625,0.686269885162172,0.659738946714457,0.0133798465005394,0.0166469107954621,0.0238166589739698,0.854077000770908,0.63117420774466,0.934585484697047,0.0520339587317932,0.0185469539122267,TRUE
27,0.703843009170283,0.676528476442028,0.642604164640742,0.0139842904486402,0.0176950475189014,0.0250220546872391,0.862705927988538,0.662409069367993,0.943443842768204,0.0612388445295412,0.0189232386166664,TRUE
28,0.71061256214387,0.697298655550245,0.676469715268615,0.013946316921755,0.0169818131943464,0.023874654870795,0.862671301549535,0.648834103307574,0.937559827367083,0.0341428468752547,0.0182324641445556,FALSE
29,0.701141190680424,0.670966307752435,0.637069234561647,0.0136039703984488,0.0178254539759511,0.0256444180336728,0.861878265737393,0.670158192718463,0.946985898254962,0.0640719561187766,0.0193678470585508,TRUE
30,0.717440027978768,0.690540557426039,0.664218081890153,0.0137623931411744,0.0172393929924498,0.0243011873596396,0.867546471173761,0.658737341607581,0.938232754278686,0.0532219460886156,0.0184209568944477,TRUE
31,0.685596946003062,0.667109857524212,0.643932787949835,0.0136670323213886,0.0169388058756047,0.0236896680632164,0.849381277334615,0.638447883204531,0.941126956686255,0.0416641580532267,0.0182912779102414,TRUE
32,0.704529070957522,0.675626912008711,0.641593067652276,0.0134831879053743,0.0171912009315746,0.0251083187056753,0.852262373798768,0.635133060356673,0.937881911743607,0.0629360033052457,0.0195496267051497,TRUE
33,0.699072980083322,0.670432151043777,0.6433334268872,0.0129989390860871,0.0170150027388285,0.0247696789510351,0.835110031837613,0.614732025194643,0.939510369397611,0.0557395531961212,0.0196633449249809,TRUE
34,0.704219622091626,0.674315873167751,0.647026568669695,0.0137024978698024,0.0170822646345908,0.0237514954721112,0.874632848671444,0.674745637697846,0.940905298544217,0.0571930534219319,0.0176831431073791,TRUE
35,0.711502900810746,0.685438547491646,0.663423096718682,0.0139939270355094,0.0178119609924774,0.024203236304494,0.888476506628831,0.719275415761547,0.951124899432172,0.0480798040920647,0.0171578520651244,TRUE
36,0.72735550114387,0.710146365748149,0.68807990454325,0.0129903478973073,0.0168181274499802,0.0245725008595081,0.833187616053462,0.61627567989003,0.941040772960182,0.0392755966006204,0.0194710032468335,TRUE
37,0.692499750818764,0.648947285078174,0.605075951909579,0.013465958365034,0.0172707319337577,0.0248384668789114,0.85751960360023,0.636772900791963,0.934594713300938,0.0874237989091848,0.01929543515245,TRUE
38,0.689942256824627,0.674287681756071,0.650067154378827,0.0136028572273847,0.017012373259592,0.0243004692496389,0.846439125479354,0.630623249907468,0.939641177277496,0.0398751024458002,0.018937744517269,TRUE
39,0.715185172900626,0.682656624511851,0.647703025628322,0.0136254085634768,0.0173583480703103,0.0245452438620882,0.868174236857593,0.672006208737298,0.943273277002644,0.0674821472723046,0.0184019188743731,TRUE
