"model_family","dgp","dgp_name","n","rep","seed","method","coefficient","estimate","truth","error"
"guess","A","Exchangeable + MCAR",1000,7,210207,"fiml","Brennan-Prediger",0.82237677439673,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"gwet","Conger",0.838818750609806,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"gwet","Fleiss",0.838801700706104,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,7,210207,"gwet","Brennan-Prediger",0.841653721225816,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"available","Conger",0.85082980453896,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"available","Fleiss",0.850826942364975,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"available","Brennan-Prediger",0.854710144927536,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"ipw","Conger",0.852476031303589,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"ipw","Fleiss",0.852459450245132,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"ipw","Brennan-Prediger",0.856321735683164,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"fiml","Conger",0.839773220842685,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"fiml","Fleiss",0.839759719902088,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"fiml","Brennan-Prediger",0.84363847833264,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"gwet","Conger",0.85082130457568,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"gwet","Fleiss",0.850804537533068,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,8,210208,"gwet","Brennan-Prediger",0.854710144927536,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"available","Conger",0.834329854857743,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"available","Fleiss",0.834328623343713,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"available","Brennan-Prediger",0.838255733148019,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"ipw","Conger",0.835135303675158,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"ipw","Fleiss",0.835108357392901,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"ipw","Brennan-Prediger",0.83915079458412,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"fiml","Conger",0.812410224114942,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"fiml","Fleiss",0.812392169916395,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"fiml","Brennan-Prediger",0.817286107610791,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"gwet","Conger",0.834217897639653,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"gwet","Fleiss",0.834190801412122,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,9,210209,"gwet","Brennan-Prediger",0.838255733148019,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"available","Conger",0.839939218064067,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"available","Fleiss",0.839932419578497,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"available","Brennan-Prediger",0.843306360022714,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"ipw","Conger",0.838903267696158,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"ipw","Fleiss",0.838890555935981,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"ipw","Brennan-Prediger",0.842349093162341,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"fiml","Conger",0.825959851705776,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"fiml","Fleiss",0.825954737859137,0.84371493031845,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"fiml","Brennan-Prediger",0.829746449920508,0.847107967078189,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"gwet","Conger",0.839881457839445,0.84370021628009,""
"guess","A","Exchangeable + MCAR",1000,10,210210,"gwet","Fleiss",0.839868823265927,0.84371493031845,""
