"target","R","n","coefficient","method","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","sd_estimate","mean_se","mean_skew_if"
0.5,5,20,"Fleiss","fisher",300,300,0.943333333333333,0.05,0.00666666666666667,0.467123083381538,0.470029663949023,0.483243581285028,-0.0167564187149722,0.123733452217494,0.112393101189979,0.166299318230982
0.5,5,40,"Fleiss","arcsine",300,300,0.95,0.0466666666666667,0.00333333333333333,0.331645627566541,0.332009347737689,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","basic",300,300,0.956666666666667,0.0366666666666667,0.00666666666666667,0.333749352945414,0.33396951479918,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_if",300,300,0.94,0.05,0.01,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_student_minus",300,300,0.966666666666667,0.0266666666666667,0.00666666666666667,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","cf_student_plus",300,300,0.933333333333333,0.0566666666666667,0.01,0.323399242640922,0.323612576917492,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.5,5,40,"Fleiss","fisher",300,300,0.946666666666667,0.05,0.00333333333333333,0.332330560402621,0.332446758052705,0.485412667131596,-0.0145873328684043,0.080660258923015,0.08250132277732,0.281087521772853
0.8,2,10,"Brennan-Prediger","arcsine",300,300,0.63,0.00333333333333333,0.366666666666667,0.55710755531593,0.416637852174704,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,10,"Brennan-Prediger","basic",300,300,0.626666666666667,0.00333333333333333,0.37,0.619156217867548,0.430701892041899,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,10,"Brennan-Prediger","cf_if",300,247,0.761133603238866,0.00404858299595142,0.234817813765182,0.651553162382791,0.489010032195873,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,10,"Brennan-Prediger","cf_student_minus",300,247,0.712550607287449,0.0526315789473684,0.234817813765182,0.651553162382791,0.489010032195873,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,10,"Brennan-Prediger","cf_student_plus",300,247,0.647773279352227,0.00404858299595142,0.348178137651822,0.651553162382791,0.489010032195874,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,10,"Brennan-Prediger","fisher",300,300,0.816666666666667,0.00666666666666667,0.176666666666667,0.653670478831844,0.62512474703166,0.805916666666667,0.00591666666666657,0.202576406301893,0.136850840438883,-2.23216550282823
0.8,2,20,"Brennan-Prediger","arcsine",300,300,0.853333333333333,0.00333333333333333,0.143333333333333,0.478952334320487,0.475899040508901,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,20,"Brennan-Prediger","basic",300,300,0.716666666666667,0,0.283333333333333,0.501191039050197,0.491415126740916,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,20,"Brennan-Prediger","cf_if",300,290,0.731034482758621,0,0.268965517241379,0.485512511237927,0.460174333802705,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,20,"Brennan-Prediger","cf_student_minus",300,290,0.841379310344828,0.0448275862068966,0.113793103448276,0.485512511237927,0.460174333802705,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,20,"Brennan-Prediger","cf_student_plus",300,290,0.662068965517241,0,0.337931034482759,0.485512511237927,0.460174333802705,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,20,"Brennan-Prediger","fisher",300,300,0.836666666666667,0.02,0.143333333333333,0.558853338146419,0.577203519110404,0.803583333333333,0.00358333333333327,0.141995429723743,0.119728924757122,-3.11902493461656
0.8,2,40,"Brennan-Prediger","arcsine",300,300,0.84,0.00666666666666667,0.153333333333333,0.368713723448561,0.38859222264186,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
0.8,2,40,"Brennan-Prediger","basic",300,300,0.833333333333333,0,0.166666666666667,0.376427624408309,0.399769394366105,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
0.8,2,40,"Brennan-Prediger","cf_if",300,299,0.806020066889632,0,0.193979933110368,0.365973904501181,0.387371895190351,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
0.8,2,40,"Brennan-Prediger","cf_student_minus",300,299,0.822742474916388,0.040133779264214,0.137123745819398,0.365973904501181,0.387371895190351,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
0.8,2,40,"Brennan-Prediger","cf_student_plus",300,299,0.725752508361204,0,0.274247491638796,0.365973904501181,0.387371895190351,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
0.8,2,40,"Brennan-Prediger","fisher",300,300,0.856666666666667,0.02,0.123333333333333,0.407352666550986,0.419380403214842,0.802083333333333,0.00208333333333333,0.103919997796521,0.0930511974616141,-3.64037694617716
