"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"paper5x6","C = 5, R = 6",5,6,15625,"complete",500,"available",8,8,8,0,0.853987551538603,0.851054022061052,-0.00293352947755134,0.0134714959944326,0.00476289308519536,0.0129383789163355,0.0101587514545323,0.754092304130932,0.875,-0.179277372377627,1.42518355185427,0,0,1,500,5,5.55653613398821e-19
"paper5x6","C = 5, R = 6",5,6,15625,"complete",500,"fiml",8,8,8,0,0.853987551538603,0.851054022061058,-0.00293352947754474,0.0134714959944326,0.00476289308519536,0.012938378916334,0.0101587514545319,0.754092304130899,0.875,-0.179277372376978,1.42518355185439,115.375,115,1,500,5,5.42101086242752e-19
"paper5x6","C = 5, R = 6",5,6,15625,"mar",150,"available",8,8,8,0,0.853987551538603,0.839972549159002,-0.0140150023796009,0.0240971908611185,0.00851964353272171,0.0265426180542302,0.0226137924058783,0.938441021453928,0.875,-0.50485307609252,1.05937417456304,0.124999999999986,0,0.668194444444444,41,5,7.58941520739853e-19
"paper5x6","C = 5, R = 6",5,6,15625,"mar",150,"fiml",8,8,8,0,0.853987551538603,0.806085178827902,-0.0479023727107012,0.0389608765400621,0.0137747500012249,0.0601900612600506,0.0299100421039371,0.767694281035531,0.75,-1.47866128190159,0.849262188934863,66.8750000000002,64.0000000000005,0.668194444444444,41,5,4.11996825544492e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mar",500,"available",8,8,8,0,0.853987551538603,0.844435021994851,-0.00955252954375219,0.0100678379033193,0.00355951822666201,0.0134142465582615,0.0133969106156321,1.33066411520345,1,-0.668196904740467,0.740174162991225,0.250000000000083,0,0.67825,168,5,4.60785923306339e-19
"paper5x6","C = 5, R = 6",5,6,15625,"mar",500,"fiml",8,8,8,0,0.853987551538603,0.845866233665084,-0.00812131787351883,0.0103124974600522,0.00364601844248597,0.0126099150426706,0.0143763024400873,1.39406603451562,1,-0.52332000684735,0.640816180140807,183.25,155,0.67825,168,5,3.03576608295941e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",150,"available",8,8,8,0,0.853987551538603,0.839646665492763,-0.0143408860458401,0.0193549536147058,0.00684300947525479,0.0230965032705983,0.022842386193141,1.18018294684961,1,-0.571815460910278,0.794466220420465,0.124999999999986,0,0.780972222222222,79,5,1.0842021724855e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",150,"fiml",8,8,8,0,0.853987551538603,0.822689175899055,-0.0312983756395483,0.0152541589221166,0.00539315960756297,0.0343975509526886,0.0286134240184988,1.87577854436884,1,-1.0811109110971,0.41832994367987,33.375,31.5000000000001,0.780972222222222,79,5,6.59194920871187e-17
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",500,"available",8,8,8,0,0.853987551538603,0.850987619090117,-0.00299993244848559,0.0138941823164508,0.0049123352675023,0.0133385478654127,0.0117833205623957,0.848075856068487,1,-0.160749917628403,1.09868979419816,0.624999999999987,0.99999999999989,0.77575,281,5,2.43945488809238e-19
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",500,"fiml",8,8,8,0,0.853987551538603,0.837798895631517,-0.0161886559070857,0.0107401134386012,0.00379720352157382,0.0190526602386068,0.0136676719121985,1.27258170878115,0.75,-1.1431240605107,0.716245159614121,142.375,145,0.77575,281,5,1.47451495458029e-17
