"profile","profile_label","C","R","patterns","mechanism","n","rep","seed","method","truth","estimate","bias","se","vcov","elapsed_ms","observed_fraction","min_pair_count","observed_categories","psi_vcov_max_abs_error","error"
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,3,5161603,"available",0.825352712419042,0.768977624461953,-0.0563750879570892,0.0349108833456122,0.00121876977597095,0,0.728333333333333,61,3,2.16840434497101e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,3,5161603,"fiml",0.825352712419042,0.792402656525403,-0.0329500558936388,0.0492479216425557,0.00242535778611131,1,0.728333333333333,61,3,7.80625564189563e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,4,5161604,"available",0.825352712419042,0.789505584855392,-0.0358471275636499,0.0353576683891626,0.00125016471391799,0,0.698333333333333,48,3,6.50521303491303e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,4,5161604,"fiml",0.825352712419042,0.849212233988785,0.0238595215697436,0.0250628937292784,0.0006281486420851,0,0.698333333333333,48,3,2.16840434497101e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,5,5161605,"available",0.825352712419042,0.83905324184536,0.0137005294263181,0.0310889051418447,0.000966520022918619,0,0.678333333333333,52,3,2.16840434497101e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,5,5161605,"fiml",0.825352712419042,0.862760727678594,0.0374080152595524,0.0291504302513027,0.000849747583836062,0,0.678333333333333,52,3,1.0842021724855e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,6,5161606,"available",0.825352712419042,0.826941303457359,0.00158859103831765,0.0297763281108783,0.000886629715766679,0,0.708333333333333,53,3,1.0842021724855e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,6,5161606,"fiml",0.825352712419042,0.843846158036517,0.0184934456174752,0.0274835272017514,0.000755344267449407,0,0.708333333333333,53,3,8.67361737988404e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,7,5161607,"available",0.825352712419042,0.821202544448448,-0.00415016797059353,0.0329090530650056,0.00108300577363536,0,0.718333333333333,58,3,4.33680868994202e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,7,5161607,"fiml",0.825352712419042,0.836760030296503,0.0114073178774613,0.0299674705855947,0.000898049293298482,1,0.718333333333333,58,3,4.33680868994202e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,8,5161608,"available",0.825352712419042,0.818504518893825,-0.00684819352521648,0.0329009908328525,0.00108247519778345,0,0.73,59,3,1.30104260698261e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",150,8,5161608,"fiml",0.825352712419042,0.833939810740133,0.0085870983210915,0.0301523127357972,0.000909161963317316,2,0.73,59,3,1.84314369322536e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,1,6161601,"available",0.825352712419042,0.7733399411316,-0.0520127712874415,0.0203801492175834,0.000415350482130966,0,0.675,170,3,5.42101086242752e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,1,6161601,"fiml",0.825352712419042,0.826845791071319,0.00149307865227766,0.0175399013002591,0.00030764813762283,1,0.675,170,3,2.71050543121376e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,2,6161602,"available",0.825352712419042,0.765736453110013,-0.0596162593090291,0.0205548458288026,0.000422501687045845,0,0.7175,203,3,7.58941520739853e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,2,6161602,"fiml",0.825352712419042,0.792427862106497,-0.0329248503125444,0.0190892640733119,0.000364400002860637,1,0.7175,203,3,7.04731412115578e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,3,6161603,"available",0.825352712419042,0.804195893261461,-0.0211568191575812,0.0171638492857255,0.000294597722303098,0,0.7115,201,3,1.0842021724855e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,3,6161603,"fiml",0.825352712419042,0.84248732931302,0.017134616893978,0.0156189217269776,0.000243950715913453,2,0.7115,201,3,2.43945488809238e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,4,6161604,"available",0.825352712419042,0.797987547608884,-0.027365164810158,0.0177139537763075,0.000313784158389158,0,0.709,190,3,7.58941520739853e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,4,6161604,"fiml",0.825352712419042,0.830548094877925,0.00519538245888329,0.0164310778606035,0.000269980319661215,2,0.709,190,3,1.24683249835833e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,5,6161605,"available",0.825352712419042,0.768575948764176,-0.0567767636548658,0.0210759813362299,0.000444196989285113,1,0.7135,192,3,1.02999206386123e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,5,6161605,"fiml",0.825352712419042,0.813516402640736,-0.0118363097783059,0.0211505701998117,0.000447346619777162,4,0.7135,192,3,4.01154803819637e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,6,6161606,"available",0.825352712419042,0.7785569236028,-0.0467957888162416,0.0197843720212764,0.000391421376276264,0,0.7195,194,3,7.58941520739853e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,6,6161606,"fiml",0.825352712419042,0.830634500707451,0.00528178828840931,0.0166816369119369,0.000278277010061696,3,0.7195,194,3,5.42101086242752e-20,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,7,6161607,"available",0.825352712419042,0.795726098726083,-0.0296266136929589,0.0179234528613289,0.00032125016247228,0,0.6885,175,3,5.42101086242752e-20,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,7,6161607,"fiml",0.825352712419042,0.830607292109188,0.00525457969014587,0.0159139308531907,0.000253253195200134,1,0.6885,175,3,3.79470760369927e-19,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,8,6161608,"available",0.825352712419042,0.792988120977752,-0.0323645914412899,0.0186218206861154,0.000346772205665834,0,0.701,187,3,1.02999206386123e-18,""
"tiny3x4","C = 3, R = 4",3,4,81,"mar",500,8,6161608,"fiml",0.825352712419042,0.847682904877715,0.0223301924586736,0.0142770569251742,0.000203834354444664,1,0.701,187,3,3.25260651745651e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,1,7161601,"available",0.848384020813531,0.854419188249087,0.0060351674355561,0.018018877450698,0.000324679944583271,0,1,150,4,7.58941520739853e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,1,7161601,"fiml",0.848384020813531,0.854419188249087,0.00603516743555621,0.018018877450698,0.000324679944583272,3,1,150,4,7.58941520739853e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,2,7161602,"available",0.848384020813531,0.882528880410236,0.0341448595967055,0.0146465000688864,0.00021451996426789,1,1,150,4,5.14996031930615e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,2,7161602,"fiml",0.848384020813531,0.882528880410236,0.0341448595967055,0.0146465000688864,0.000214519964267891,2,1,150,4,5.42101086242752e-20,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,3,7161603,"available",0.848384020813531,0.82928407430599,-0.0190999465075403,0.0213256574281528,0.000454783664742927,0,1,150,4,0,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,3,7161603,"fiml",0.848384020813531,0.82928407430599,-0.0190999465075404,0.0213256574281528,0.00045478366474293,3,1,150,4,2.16840434497101e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,4,7161604,"available",0.848384020813531,0.852804158168537,0.00442013735500624,0.0179299555220367,0.000321483305022213,0,1,150,4,5.42101086242752e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,4,7161604,"fiml",0.848384020813531,0.852804158168537,0.0044201373550059,0.0179299555220367,0.000321483305022216,3,1,150,4,1.62630325872826e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,5,7161605,"available",0.848384020813531,0.84427885676585,-0.00410516404768102,0.0199892086480596,0.000399568462375662,0,1,150,4,2.16840434497101e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,5,7161605,"fiml",0.848384020813531,0.844278856765849,-0.00410516404768191,0.0199892086480597,0.000399568462375666,2,1,150,4,8.67361737988404e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,6,7161606,"available",0.848384020813531,0.815120952655827,-0.0332630681577034,0.0249162142581414,0.00062081773295761,0,1,150,4,1.0842021724855e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,6,7161606,"fiml",0.848384020813531,0.815120952655827,-0.033263068157704,0.0249162142581416,0.000620817732957618,3,1,150,4,1.0842021724855e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,7,7161607,"available",0.848384020813531,0.879794144119434,0.031410123305903,0.0154495981513378,0.000238690083037822,1,1,150,4,2.98155597433514e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,7,7161607,"fiml",0.848384020813531,0.879794144119434,0.0314101233059032,0.0154495981513379,0.000238690083037823,2,1,150,4,2.71050543121376e-20,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,8,7161608,"available",0.848384020813531,0.828794578659764,-0.0195894421537667,0.020640315968969,0.000426022643298877,0,1,150,4,5.42101086242752e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",150,8,7161608,"fiml",0.848384020813531,0.828794578659765,-0.0195894421537657,0.020640315968969,0.000426022643298875,2,1,150,4,5.96311194867027e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,1,8161601,"available",0.848384020813531,0.835578149188771,-0.0128058716247592,0.0118242887584035,0.000139813804642107,0,1,500,4,4.06575814682064e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,1,8161601,"fiml",0.848384020813531,0.835578149188774,-0.0128058716247565,0.0118242887584033,0.000139813804642103,30,1,500,4,2.71050543121376e-20,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,2,8161602,"available",0.848384020813531,0.861036369946972,0.0126523491334409,0.00966128485285554,9.33404250080159e-05,0,1,500,4,1.76182853028894e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,2,8161602,"fiml",0.848384020813531,0.861036369946974,0.0126523491334428,0.00966128485285542,9.33404250080136e-05,28,1,500,4,3.3881317890172e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,3,8161603,"available",0.848384020813531,0.846855717662455,-0.0015283031510761,0.0103771784906696,0.000107685833427215,0,1,500,4,8.53809210832335e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,3,8161603,"fiml",0.848384020813531,0.846855717662457,-0.00152830315107377,0.0103771784906694,0.000107685833427211,27.9999999999999,1,500,4,4.60785923306339e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,4,8161604,"available",0.848384020813531,0.859409304492243,0.0110252836787122,0.00968990548816469,9.38942683695643e-05,0,1,500,4,4.06575814682064e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,4,8161604,"fiml",0.848384020813531,0.859409304492246,0.0110252836787148,0.00968990548816453,9.38942683695611e-05,27,1,500,4,5.42101086242752e-20,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,5,8161605,"available",0.848384020813531,0.834944509371969,-0.0134395114415617,0.0117465678849398,0.000137981857075498,0,1,500,4,7.86046575051991e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,5,8161605,"fiml",0.848384020813531,0.834944509371975,-0.0134395114415559,0.0117465678849395,0.000137981857075491,35,1,500,4,1.89735380184963e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,6,8161606,"available",0.848384020813531,0.846045499991594,-0.00233852082193642,0.0107607662361629,0.000115794089989343,0,1,500,4,1.21972744404619e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,6,8161606,"fiml",0.848384020813531,0.846045499991598,-0.00233852082193264,0.0107607662361627,0.000115794089989338,29,1,500,4,2.03287907341032e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,7,8161607,"available",0.848384020813531,0.850846624371679,0.00246260355814787,0.0104418469540708,0.000109032167812239,0,1,500,4,7.72494047895922e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,7,8161607,"fiml",0.848384020813531,0.850846624371683,0.0024626035581522,0.0104418469540706,0.000109032167812234,28.9999999999999,1,500,4,0,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,8,8161608,"available",0.848384020813531,0.843095587989714,-0.00528843282381686,0.0110891073799365,0.000122968302483762,0,1,500,4,5.96311194867027e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"complete",500,8,8161608,"fiml",0.848384020813531,0.843095587989718,-0.00528843282381319,0.0110891073799363,0.000122968302483757,36,1,500,4,2.16840434497101e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,1,9161601,"available",0.848384020813531,0.883334672436435,0.0349506516229042,0.0175017866923548,0.000306312537424687,0,0.770666666666667,85,4,2.71050543121376e-19,""
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",150,1,9161601,"fiml",0.848384020813531,0.882938218302303,0.0345541974887722,0.016442470834051,0.000270354847128616,8.00000000000001,0.770666666666667,85,4,2.00577401909818e-18,""
