"index","eigenvalue","relative","gradient_projection"
180,3226702.90101391,0.0159648413614252,-0.0530952670978897
181,3181554.13137168,0.0157414576266613,-0.141681663330769
182,3127341.08972271,0.0154732263589564,-0.0404563690354937
183,3065379.44802753,0.0151666571424828,0.115912044170882
184,3050830.53219353,0.0150946730954862,0.088636961232831
185,3030134.41610031,0.0149922743868471,-0.0521153356472204
186,3007930.9708204,0.0148824178266229,0.234920004823303
187,2930180.29227741,0.0144977287843525,0.111115840147498
188,2880276.98936213,0.0142508209223975,-0.0115236151642497
189,2864367.67428294,0.0141721059928859,-0.0242257054225931
190,2823423.23391907,0.0139695241267847,-0.0105253817443922
191,2761449.86518565,0.0136628968881408,-0.18079259469811
192,2691054.28297776,0.0133145988461546,-0.00433318569296937
193,2667030.98378506,0.0131957381476785,0.0724129523543799
194,2624375.90731342,0.0129846925230828,0.140096203677085
195,2573790.8656598,0.0127344116047475,-0.112879300093104
196,2540723.22875372,0.0125708020027488,-0.0390304207024696
197,2509000.42683798,0.0124138462755991,-0.00757904487349682
198,2494005.2461865,0.0123396542326281,0.00768939660421697
199,2461140.70906253,0.012177049512672,-0.0578444354449112
200,2415357.70878824,0.0119505277786135,0.257947918019359
201,2406796.48178576,0.0119081691744449,-0.0298726012390013
202,2403235.18859502,0.011890548872057,0.0477220882197287
203,2392570.45598512,0.0118377826988139,-0.0371741580897508
204,2380137.43161556,0.0117762675027169,0.00757882705570631
205,2377062.09066567,0.0117610515587941,-0.00872213965922042
206,2373068.80757902,0.0117412938888303,0.0164103636003168
207,2360719.39087995,0.0116801923605659,0.10709598750064
208,2336715.80764955,0.0115614292112662,-0.00288481594478712
209,2334329.52475738,0.0115496225377094,0.0284922203830811
210,2216993.35250156,0.0109690753248153,0.340245057066352
211,2115462.93033872,0.0104667306302731,0.113938078267795
212,2102964.31282439,0.0104048908972779,-0.113606316854902
213,2092954.49791533,0.0103553650772744,-0.0164398320347283
214,2078746.74717244,0.0102850690216191,-0.00346605668360095
215,2076745.02608236,0.0102751650544324,0.0207407715976433
216,2032066.36215023,0.0100541072738438,-0.44497965088155
217,2003218.89248961,0.009911377902427,0.0105486308011938
218,1989124.63519188,0.0098416433812244,-0.0508400123615053
