"index","eigenvalue","relative","contribution_untruncated","contribution_truncated","share_untruncated","cumulative_share_untruncated","retained_at_info_rcond"
50,25069084.3146891,0.124034956560284,3.73011648401413e-08,3.73011648401413e-08,5.97687166978403e-12,4.13746805694891e-10,TRUE
51,24941881.4824827,0.123405591818875,2.53651613137166e-09,2.53651613137166e-09,4.06433189701108e-13,4.14153238884592e-10,TRUE
52,24875340.8204679,0.123076366865188,1.05303032768457e-09,1.05303032768457e-09,1.68730042612188e-13,4.14321968927205e-10,TRUE
53,24812411.368451,0.122765009188565,2.48058483793786e-09,2.48058483793786e-09,3.97471159571177e-13,4.14719440086776e-10,TRUE
54,24681279.5489106,0.12211620489495,5.62453753134325e-09,5.62453753134325e-09,9.01235636227256e-13,4.15620675723003e-10,TRUE
55,24119047.5254859,0.119334434977593,4.9204395811279e-08,4.9204395811279e-08,7.88416020286833e-12,4.23504835925871e-10,TRUE
56,23992176.8614281,0.118706713713121,2.00311160308092e-08,2.00311160308092e-08,3.20964265946625e-12,4.26714478585338e-10,TRUE
57,23505864.4983084,0.116300573461762,7.16154748915326e-09,7.16154748915326e-09,1.1475151106721e-12,4.2786199369601e-10,TRUE
58,23279376.9106964,0.115179974969282,6.29866770008237e-09,6.29866770008237e-09,1.00925342935922e-12,4.28871247125369e-10,TRUE
59,23142917.6225053,0.114504811821296,5.28014150360588e-08,5.28014150360588e-08,8.46052081767463e-12,4.37331767943044e-10,TRUE
60,22892513.2555389,0.113265879661298,3.57282019491752e-09,3.57282019491752e-09,5.72483135466445e-13,4.3790425107851e-10,TRUE
61,22656551.3912423,0.112098405045132,1.1946459716755e-08,1.1946459716755e-08,1.91421519787098e-12,4.39818466276381e-10,TRUE
62,22102484.59637,0.109357034440175,1.93524491275865e-08,1.93524491275865e-08,3.10089793247245e-12,4.42919364208853e-10,TRUE
63,21015577.3950823,0.103979315581182,9.29942897266614e-08,9.29942897266614e-08,1.4900739376397e-11,4.5782010358525e-10,TRUE
64,20942322.695924,0.103616871412345,5.08428079973346e-09,5.08428079973346e-09,8.14668764457778e-13,4.58634772349708e-10,TRUE
65,20397542.3087433,0.1009214474068,1.13012899871582e-07,1.13012899871582e-07,1.81083781822197e-11,4.76743150531928e-10,TRUE
66,20293239.3833948,0.10040538512657,2.75501401585817e-08,2.75501401585817e-08,4.414437268061e-12,4.81157587799989e-10,TRUE
67,20228467.0927598,0.100084909589675,4.33173501600464e-10,4.33173501600464e-10,6.9408621444197e-14,4.81226996421433e-10,TRUE
68,20206793.1962406,0.0999776730915442,1.26964837261032e-10,1.26964837261032e-10,2.03439367680972e-14,4.81247340358201e-10,TRUE
69,19866292.6172037,0.0982929695738795,4.99384067891668e-08,4.99384067891668e-08,8.0017728682596e-12,4.89249113226461e-10,TRUE
70,19763436.1942867,0.0977840641911254,7.07531693672441e-08,7.07531693672441e-08,1.13369814414865e-11,5.00586094667947e-10,TRUE
71,19529095.0888745,0.096624608645593,4.30188427382174e-08,4.30188427382174e-08,6.8930314517216e-12,5.07479126119669e-10,TRUE
72,19402848.0282534,0.0959999727999659,8.43165541802182e-10,8.43165541802182e-10,1.35102811435861e-13,5.07614228931105e-10,TRUE
73,19125773.0877984,0.094629081954019,6.9165358313949e-08,6.9165358313949e-08,1.10825619631115e-11,5.18696790894216e-10,TRUE
74,18721792.534398,0.0926302969260849,5.65469507678747e-09,5.65469507678747e-09,9.06067865455705e-13,5.19602858759672e-10,TRUE
75,18592468.6389385,0.0919904377451843,1.55870496855445e-09,1.55870496855445e-09,2.4975572768385e-13,5.19852614487356e-10,TRUE
76,18551264.0869543,0.0917865689180945,1.85822553136301e-08,1.85822553136301e-08,2.97748758840929e-12,5.22830102075765e-10,TRUE
77,18366274.4688804,0.090871291002321,1.00479212429833e-08,1.00479212429833e-08,1.61000698167957e-12,5.24440109057445e-10,TRUE
78,18062428.3658974,0.0893679437834351,1.98736550225611e-09,1.98736550225611e-09,3.18441223453644e-13,5.24758550280898e-10,TRUE
79,17836377.7137259,0.0882495071277296,5.70533276319326e-08,5.70533276319326e-08,9.14181685884618e-12,5.33900367139745e-10,TRUE
80,17791384.308334,0.088026892092684,3.71227589507445e-10,3.71227589507445e-10,5.94828518701256e-14,5.33959849991615e-10,TRUE
81,17752920.7339402,0.0878365848712793,2.11327214826305e-10,2.11327214826305e-10,3.38615603229221e-14,5.33993711551938e-10,TRUE
82,17721790.4966454,0.0876825609914238,2.99820192068106e-09,2.99820192068106e-09,4.80410416050235e-13,5.34474121967988e-10,TRUE
83,17604828.4771153,0.0871038649836433,7.79170481919673e-09,7.79170481919673e-09,1.24848701086838e-12,5.35722608978856e-10,TRUE
84,17290662.7253927,0.0855494589719002,6.20047132188667e-09,6.20047132188667e-09,9.93519144560644e-13,5.36716128123417e-10,TRUE
85,16168377.0673203,0.0799966972076557,1.43918089233205e-07,1.43918089233205e-07,2.30604045207113e-11,5.59776532644128e-10,TRUE
86,16004009.1355563,0.0791834497423579,2.65697286784212e-09,2.65697286784212e-09,4.25734314980449e-13,5.60202266959109e-10,TRUE
87,15848858.7875973,0.0784158083547492,8.98082304370235e-09,8.98082304370235e-09,1.43902280401399e-12,5.61641289763123e-10,TRUE
88,15626770.5885249,0.0773169768306812,1.56813747596684e-08,1.56813747596684e-08,2.51267125158157e-12,5.64153961014704e-10,TRUE
89,15492919.5176837,0.076654718427106,2.70384229933003e-08,2.70384229933003e-08,4.33244337212718e-12,5.68486404386831e-10,TRUE
90,15260870.962786,0.075506605793022,3.26473057885139e-08,3.26473057885139e-08,5.23117060548626e-12,5.73717574992318e-10,TRUE
91,15133015.6429242,0.0748740127215725,8.32605941459604e-09,8.32605941459604e-09,1.3341081665762e-12,5.75051683158894e-10,TRUE
92,14783198.0022306,0.0731432109370801,2.73627952289499e-08,2.73627952289499e-08,4.38441845746371e-12,5.79436101616358e-10,TRUE
93,14559794.420444,0.0720378712599514,2.74991092737672e-08,2.74991092737672e-08,4.4062604443334e-12,5.83842362060691e-10,TRUE
94,14314366.2722795,0.0708235600663664,8.58817031001823e-08,8.58817031001823e-08,1.3761069403921e-11,5.97603431464612e-10,TRUE
95,14177397.0004805,0.0701458736592994,1.80997311151142e-09,1.80997311151142e-09,2.90017136452045e-13,5.97893448601064e-10,TRUE
96,14144029.4214675,0.0699807800259841,1.60127412386136e-08,1.60127412386136e-08,2.56576704440229e-12,6.00459215645466e-10,TRUE
97,14076001.0902585,0.0696441944929641,4.71479638153566e-09,4.71479638153566e-09,7.55465225881508e-13,6.01214680871348e-10,TRUE
98,14013374.6426682,0.0693343359991766,4.57731711811425e-09,4.57731711811425e-09,7.33436532722791e-13,6.01948117404071e-10,TRUE
99,13954675.2011197,0.0690439072547043,7.09177428177482e-10,7.09177428177482e-10,1.13633515132559e-13,6.02061750919203e-10,TRUE
100,13829480.4716113,0.0684244780549291,3.83409268439196e-09,3.83409268439196e-09,6.1434756911419e-13,6.02676098488317e-10,TRUE
101,13794968.8068185,0.0682537237988236,1.6617892534626e-09,1.6617892534626e-09,2.66273215668687e-13,6.02942371703986e-10,TRUE
102,13500107.7434272,0.0667948320926104,2.65645281138037e-12,2.65645281138037e-12,4.25650984855339e-16,6.02942797354971e-10,TRUE
103,13303644.4169876,0.0658227854133327,1.81703852101978e-08,1.81703852101978e-08,2.91149247100784e-12,6.05854289825979e-10,TRUE
104,12951513.8302633,0.0640805398059688,4.48205461223736e-08,4.48205461223736e-08,7.18172350625306e-12,6.13036013332232e-10,TRUE
105,12651285.7940736,0.0625950937896918,7.99329397016469e-10,7.99329397016469e-10,1.28078821353912e-13,6.13164092153586e-10,TRUE
106,12493628.3009771,0.0618150477352707,3.2382258202834e-08,3.2382258202834e-08,5.18870127744292e-12,6.18352793431029e-10,TRUE
107,12430507.7494341,0.0615027445505821,2.65234831122458e-09,2.65234831122458e-09,4.24993309128457e-13,6.18777786740157e-10,TRUE
108,12363853.5421438,0.0611729578059994,3.77496973374142e-08,3.77496973374142e-08,6.04874130676231e-12,6.24826528046919e-10,TRUE
109,11864770.0725873,0.0587036296211592,4.20073703739609e-08,4.20073703739609e-08,6.73096035971676e-12,6.31557488406636e-10,TRUE
110,11616759.6520626,0.0574765420518596,3.4362421344057e-08,3.4362421344057e-08,5.50598844611572e-12,6.37063476852752e-10,TRUE
111,11559669.1622231,0.0571940739593536,9.4081439110816e-08,9.4081439110816e-08,1.50749364124098e-11,6.52138413265162e-10,TRUE
