"dgp","method","n","b","truth","est","se"
"A","ipw",8000,2,0.843045749937839,0.842784724187588,0.00353901908634313
"A","fiml",8000,2,0.843045749937839,0.839433212826044,0.00378526224117393
"A","ipw",8000,3,0.843045749937839,0.842113722488987,0.00364890672370524
"A","fiml",8000,3,0.843045749937839,0.840269325002813,0.00365017697711774
"A","ipw",8000,4,0.843045749937839,0.838181551315413,0.00358368814056142
"A","fiml",8000,4,0.843045749937839,0.835306160463636,0.00358077531241827
"A","ipw",8000,5,0.843045749937839,0.843464197647674,0.00361385810270059
"A","fiml",8000,5,0.843045749937839,0.840351586935997,0.00363370597955694
"A","ipw",8000,6,0.843045749937839,0.84085952817092,0.00362484160091053
"A","fiml",8000,6,0.843045749937839,0.837418978013874,0.003905804197068
"A","ipw",8000,7,0.843045749937839,0.83991158918435,0.00356303229482725
"A","fiml",8000,7,0.843045749937839,0.839152840974869,0.00357633506312688
"A","ipw",8000,8,0.843045749937839,0.843973726371997,0.00361006949095937
"A","fiml",8000,8,0.843045749937839,0.843575671371965,0.00355044957838143
"A","ipw",8000,9,0.843045749937839,0.846493752936225,0.00355452210653883
"A","fiml",8000,9,0.843045749937839,0.845508528342671,0.00360224279973818
"A","ipw",8000,10,0.843045749937839,0.844616106488135,0.00351654960807837
"A","fiml",8000,10,0.843045749937839,0.841011563208485,0.00354723258306129
"A","ipw",8000,11,0.843045749937839,0.841342489861272,0.00359827507402589
"A","fiml",8000,11,0.843045749937839,0.839006660564275,0.00362621954410495
"A","ipw",8000,12,0.843045749937839,0.845955166253242,0.00353628301070558
"A","fiml",8000,12,0.843045749937839,0.844674367751924,0.00361584463480867
"A","ipw",8000,13,0.843045749937839,0.842535658662674,0.00357772922596883
"A","fiml",8000,13,0.843045749937839,0.84021608133501,0.00347275303015041
"A","ipw",8000,14,0.843045749937839,0.841378920967765,0.0035974343045729
"A","fiml",8000,14,0.843045749937839,0.839664977705167,0.00366166963317406
"A","ipw",8000,15,0.843045749937839,0.843204620252854,0.00362411138681944
"A","fiml",8000,15,0.843045749937839,0.843536873792473,0.00364713775292784
"A","ipw",8000,16,0.843045749937839,0.845766004176336,0.00355817130802572
"A","fiml",8000,16,0.843045749937839,0.844007365317244,0.0035925807759847
"A","ipw",8000,17,0.843045749937839,0.842023323556044,0.00362018911414556
"A","fiml",8000,17,0.843045749937839,0.842948427341697,0.00369323873152368
"A","ipw",8000,18,0.843045749937839,0.838769689386525,0.00358957071477811
"A","fiml",8000,18,0.843045749937839,0.835944281414561,0.0038341144348681
"A","ipw",8000,19,0.843045749937839,0.843888496000363,0.00354225155304609
"A","fiml",8000,19,0.843045749937839,0.841627454643389,0.00376299229381557
"A","ipw",8000,20,0.843045749937839,0.841630880644015,0.00357519464157485
"A","fiml",8000,20,0.843045749937839,0.839299108261654,0.00358327271106308
"A","ipw",8000,21,0.843045749937839,0.846362458882295,0.00356224728138674
"A","fiml",8000,21,0.843045749937839,0.84316441685577,0.00363687533394256
"A","ipw",8000,22,0.843045749937839,0.842204305014462,0.0035329988899086
"A","fiml",8000,22,0.843045749937839,0.839984188438781,0.00348579376166555
"A","ipw",8000,23,0.843045749937839,0.848628270280296,0.00346728248708052
"A","fiml",8000,23,0.843045749937839,0.847281632615255,0.00343710732890483
"A","ipw",8000,24,0.843045749937839,0.847762780820634,0.00354190620857503
"A","fiml",8000,24,0.843045749937839,0.845027308672907,0.00355052521712425
"A","ipw",8000,25,0.843045749937839,0.838398924333119,0.00367319593825604
"A","fiml",8000,25,0.843045749937839,0.839910840659065,0.00379822872487374
"A","ipw",8000,26,0.843045749937839,0.836746763812173,0.00367695413388388
"A","fiml",8000,26,0.843045749937839,0.835080435109996,0.00390918790341633
"A","ipw",8000,27,0.843045749937839,0.841885661074055,0.00361682581901374
"A","fiml",8000,27,0.843045749937839,0.840425335876863,0.00359091808336098
"A","ipw",8000,28,0.843045749937839,0.843544841305633,0.00360881552337893
"A","fiml",8000,28,0.843045749937839,0.842236803631678,0.00357801571351918
"A","ipw",8000,29,0.843045749937839,0.840253970542185,0.00356283292149628
"A","fiml",8000,29,0.843045749937839,0.837816102871124,0.00366505280747378
"A","ipw",8000,30,0.843045749937839,0.85071210605497,0.0035387887533853
"A","fiml",8000,30,0.843045749937839,0.847862703931256,0.00366052806597169
"A","ipw",8000,31,0.843045749937839,0.841732217764934,0.00358457818590023
"A","fiml",8000,31,0.843045749937839,0.83947598304563,0.00363534418286758
