"profile","profile_label","C","R","patterns","mechanism","n","method","reps","n_valid","n_finite_se","failures","truth","mean_estimate","bias","sd_estimate","mc_se_bias","rmse","mean_se","se_over_sd","coverage95","mean_z","sd_z","mean_elapsed_ms","median_elapsed_ms","mean_observed_fraction","min_pair_count_min","min_observed_categories","max_psi_vcov_abs_error"
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",4000,"available",200,200,200,0,0.848384020813531,0.82714110865092,-0.021242912162611,0.00524750509182042,0.000371054643473716,0.0218782985007665,0.00535192020521193,1.01989804898984,0.01,-3.94690799267389,0.87383842346082,1.65499999999895,2.00000000000955,0.68682625,1401,4,3.04931861011548e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mar",4000,"fiml",200,200,200,0,0.848384020813531,0.847053092008545,-0.00133092880498608,0.00494603388125969,0.000349737409741715,0.00511002019396574,0.00480957892179208,0.972411236408097,0.93,-0.24200877149327,1.01540257722482,308.275000000001,307.999999999993,0.68682625,1401,4,1.69745402629762e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",250,"available",200,200,200,0,0.848384020813531,0.843993529684163,-0.00439049112936774,0.0184989796157629,0.00130807539313377,0.0189678042468639,0.0183839938286446,0.993784209210091,0.955,-0.128100287779655,1.00619283439496,0.205000000000695,0,0.780244,124,4,1.30104260698261e-18
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",250,"fiml",200,200,200,0,0.848384020813531,0.839529672137095,-0.00885434867643568,0.018243559176167,0.00129001444064457,0.0202376580819307,0.0197291297761236,1.08142986714442,0.945,-0.360395104941831,0.929205945688256,13.2800000000002,10.9999999999957,0.780244,124,4,2.87356943795558e-15
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",1000,"available",200,200,200,0,0.848384020813531,0.848383393527898,-6.27285632729402e-07,0.00947226764104154,0.000669790468219437,0.00944855731769101,0.00894846210975918,0.944701147483122,0.905,0.0588373691440526,1.06472711416758,0.494999999999379,0,0.780266,560,4,3.79470760369927e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",1000,"fiml",200,200,200,0,0.848384020813531,0.846395007373009,-0.00198901344052179,0.00869988554292757,0.000615174806295089,0.0089031310719497,0.00860832667769753,0.989475854046785,0.935,-0.172785393889124,1.00575336588953,79.9199999999998,79.0000000000077,0.780266,560,4,1.29562159612018e-17
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",4000,"available",200,200,200,0,0.848384020813531,0.848274072687151,-0.000109948126379725,0.00439153863033482,0.000310528674535243,0.00438192561261699,0.00447971055749412,1.02007768451591,0.95,0.00230715839653066,0.978296285711177,1.59499999999952,1.99999999998113,0.7797615,2327,4,1.49077798716757e-19
"ordinal4x5","C = 4, R = 5",4,5,1024,"mcar",4000,"fiml",200,200,200,0,0.848384020813531,0.84788794307025,-0.000496077743281106,0.00423660481221044,0.000299573199192156,0.004255016963603,0.0041719852511056,0.984747323866838,0.935,-0.0897273165402428,1.00662647789038,567.37,566.999999999993,0.7797615,2327,4,5.04831636563563e-19
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,"available",200,200,200,0,0.853987551538603,0.852398596205998,-0.00158895533260536,0.0139315775410567,0.000985111295190743,0.0139872508938526,0.0140800023818637,1.01065384306763,0.95,-0.0113772966822561,1.00255533040631,0.209999999997876,0,1,250,5,1.46367293285543e-18
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,"fiml",200,200,200,0,0.853987551538603,0.852398596206002,-0.00158895533260096,0.0139315775410562,0.000985111295190701,0.0139872508938515,0.0140800023818633,1.01065384306765,0.95,-0.0113772966819463,1.00255533040632,19.0149999999997,19.0000000000055,1,250,5,2.98155597433514e-18
"paper5x6","C = 5, R = 6",5,6,15625,"complete",1000,"available",200,200,200,0,0.853987551538603,0.853881672371816,-0.000105879166786588,0.00669798481860724,0.000473619048552172,0.00668205776876412,0.00699310522338228,1.04406107400471,0.94,0.0313278553414913,0.950040500991336,0.494999999999948,0,1,1000,5,6.36968776335234e-19
"paper5x6","C = 5, R = 6",5,6,15625,"complete",1000,"fiml",200,200,200,0,0.853987551538603,0.853881672371814,-0.000105879166789175,0.00669798481860737,0.000473619048552182,0.0066820577687643,0.0069931052233823,1.04406107400469,0.94,0.0313278553411207,0.950040500991332,880.350000000004,879.500000000007,1,1000,5,3.31359288965882e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mar",250,"available",200,200,200,0,0.853987551538603,0.836411012587999,-0.0175765389506036,0.0200311222727827,0.00141641423938615,0.0266115454585359,0.019361569579336,0.966574379391792,0.89,-0.803946672233555,0.956532328732851,0.229999999995698,0,0.675676666666667,62,5,1.73472347597681e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mar",250,"fiml",200,200,200,0,0.853987551538603,0.823891354611665,-0.0300961969269378,0.0224741687834697,0.00158916371483225,0.0375279081572683,0.0237793727404387,1.05807573884241,0.83,-1.17053132239546,0.817828454560654,121.075000000003,99.9999999999659,0.675676666666667,62,5,4.70543742858709e-17
"paper5x6","C = 5, R = 6",5,6,15625,"mar",1000,"available",200,200,200,0,0.853987551538603,0.838173863599709,-0.0158136879388943,0.00978207381537043,0.000691697072891579,0.0185817988773272,0.00965654698379956,0.987167666699302,0.645,-1.59045493650524,0.927049040637351,0.665000000000191,0.999999999976353,0.675128333333333,313,5,4.20128341838133e-19
"paper5x6","C = 5, R = 6",5,6,15625,"mar",1000,"fiml",200,200,200,0,0.853987551538603,0.841885702747029,-0.0121018487915737,0.00939865848743927,0.00066458551505248,0.0153084242046924,0.010931906276627,1.16313474856404,0.88,-1.06045251665692,0.797871798043032,555.03,510.499999999979,0.675128333333333,313,5,2.91650384398601e-17
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",250,"available",200,200,200,0,0.853987551538603,0.85083692388706,-0.0031506276515427,0.0161548331451002,0.00114231920658376,0.0164195065508974,0.0166435498474321,1.0302520427133,0.965,-0.095331988816439,0.968477218190264,0.239999999996598,0,0.779333333333333,119,5,1.46367293285543e-18
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",250,"fiml",200,200,200,0,0.853987551538603,0.834919610446568,-0.0190679410920351,0.017843169911586,0.00126170264423462,0.0260839643539969,0.0189610177962717,1.06264850305325,0.9,-0.909617098386154,0.848469886487256,72.700000000001,67.0000000000073,0.779333333333333,119,5,7.38341679462629e-17
"paper5x6","C = 5, R = 6",5,6,15625,"mcar",1000,"available",200,200,200,0,0.853987551538603,0.854245446091048,0.000257894552444577,0.0077353669044413,0.000546973039309644,0.00772031289785425,0.00818705937054798,1.05839315338065,0.965,0.0800693581975734,0.945884958360066,0.545000000000755,0.999999999976353,0.780196666666667,549,5,2.71050543121376e-19
