"profile","profile_label","C","R","patterns","mechanism","n","rep","seed","method","truth","estimate","bias","se","vcov","elapsed_ms","observed_fraction","min_pair_count","observed_categories","psi_vcov_max_abs_error","error"
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,150,19161750,"available",0.853987551538603,0.847060283992705,-0.00692726754589834,0.0149725553191307,0.000224177412784429,0,1,250,5,2.98155597433514e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,150,19161750,"fiml",0.853987551538603,0.847060283992708,-0.00692726754589501,0.0149725553191304,0.00022417741278442,19.0000000000055,1,250,5,1.62630325872826e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,151,19161751,"available",0.853987551538603,0.829658334831865,-0.024329216706738,0.0162180650503202,0.000263025633976419,0,1,250,5,1.0842021724855e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,151,19161751,"fiml",0.853987551538603,0.82965833483187,-0.0243292167067333,0.0162180650503198,0.000263025633976406,19.9999999999818,1,250,5,5.42101086242752e-20,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,152,19161752,"available",0.853987551538603,0.83598784071266,-0.0179997108259429,0.0159166917343349,0.000253341075765845,1.0000000000332,1,250,5,3.79470760369927e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,152,19161752,"fiml",0.853987551538603,0.835987840712664,-0.0179997108259385,0.0159166917343345,0.000253341075765832,19.0000000000055,1,250,5,3.79470760369927e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,153,19161753,"available",0.853987551538603,0.829184850635064,-0.024802700903539,0.0170223176267981,0.000289759297387602,0,1,250,5,1.19262238973405e-18,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,153,19161753,"fiml",0.853987551538603,0.829184850635068,-0.0248027009035352,0.0170223176267977,0.000289759297387588,20.0000000000387,1,250,5,1.84314369322536e-18,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,154,19161754,"available",0.853987551538603,0.850217639485618,-0.0037699120529846,0.0128963713667371,0.000166316394428797,0.999999999976353,1,250,5,2.71050543121376e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,154,19161754,"fiml",0.853987551538603,0.850217639485624,-0.00376991205297916,0.0128963713667367,0.000166316394428787,19.9999999999818,1,250,5,5.42101086242752e-20,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,155,19161755,"available",0.853987551538603,0.839783696485828,-0.0142038550527748,0.0160443229013441,0.000257420297362594,0,1,250,5,2.71050543121376e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,155,19161755,"fiml",0.853987551538603,0.839783696485834,-0.0142038550527693,0.0160443229013436,0.000257420297362578,19.0000000000055,1,250,5,1.0842021724855e-19,""
"paper5x6","C = 5, R = 6",5,6,15625,"complete",250,156,19161756,"available",0.853987551538603,0.838679317743083,-0.0153082337955195,0.0153244364505033,0.000234838352525514,0,1,250,5,2.16840434497101e-19,""
