"target","R","n","coefficient","method","source","reps","valid_reps","coverage","miss_below","miss_above","mean_length","median_length","mean_estimate","bias","mean_se","mean_boot_reps_used"
0.8,5,40,"Conger","moss_basic","Moss 2024 transform",120,120,0.916666666666667,0.00833333333333333,0.075,0.248144434186717,0.247312569296425,0.799413787887334,-0.00058621211266574,0.061340176031988,NA
0.8,5,40,"Conger","moss_fisher","Moss 2024 transform",120,120,0.941666666666667,0.025,0.0333333333333333,0.257613251761484,0.258212453669871,0.799413787887334,-0.00058621211266574,0.061340176031988,NA
0.8,2,10,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.558333333333333,0.0166666666666667,0.425,0.627846485904035,0.610569561976625,0.774845708902046,-0.0251542910979544,0.150404249967913,148.958333333333
0.8,2,10,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.708333333333333,0.0166666666666667,0.275,0.684719536398719,0.645079688624245,0.774845708902046,-0.0251542910979544,0.150404249967913,148.958333333333
0.8,2,10,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.65,0.025,0.325,0.627846485904035,0.610569561976625,0.774845708902046,-0.0251542910979544,0.150404249967913,148.958333333333
0.8,2,10,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,94,0.723404255319149,0.0106382978723404,0.265957446808511,1.82761013528099,0.730210656394002,0.774845708902046,-0.0251542910979544,0.150404249967913,148.946808510638
0.8,2,10,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,94,0.659574468085106,0.0638297872340425,0.276595744680851,0.694556704620243,0.465263545463014,0.774845708902046,-0.0251542910979544,0.150404249967913,148.946808510638
0.8,2,10,"Fleiss","boot_t_fisher","Efron 1987 bootstrap-t",120,94,0.680851063829787,0.0425531914893617,0.276595744680851,0.690206069031075,0.47788971884058,0.774845708902046,-0.0251542910979544,0.150404249967913,148.946808510638
0.8,2,10,"Fleiss","moss_arcsine","Moss 2024 transform",120,120,0.625,0.0333333333333333,0.341666666666667,0.6124317126888,0.499415176021341,0.774845708902046,-0.0251542910979544,0.150404249967913,NA
0.8,2,10,"Fleiss","moss_basic","Moss 2024 transform",120,120,0.633333333333333,0.00833333333333333,0.358333333333333,0.680476102760413,0.519956670123723,0.774845708902046,-0.0251542910979544,0.150404249967913,NA
0.8,2,10,"Fleiss","moss_fisher","Moss 2024 transform",120,120,0.733333333333333,0.0333333333333333,0.233333333333333,0.709960287494156,0.69762821869569,0.774845708902046,-0.0251542910979544,0.150404249967913,NA
0.8,2,20,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.65,0.0166666666666667,0.333333333333333,0.491173973266119,0.464722493980848,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.783333333333333,0.025,0.191666666666667,0.544368034119631,0.539868737602229,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.75,0.0333333333333333,0.216666666666667,0.491173973266119,0.464722493980848,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,112,0.803571428571429,0.00892857142857143,0.1875,1.30922382253124,0.985293565026197,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,112,0.776785714285714,0.0267857142857143,0.196428571428571,0.848943290833788,0.800217234591434,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","boot_t_fisher","Efron 1987 bootstrap-t",120,112,0.732142857142857,0.0625,0.205357142857143,0.675487939756804,0.67156463909483,0.785868881506031,-0.0141311184939691,0.124051942946511,149
0.8,2,20,"Fleiss","moss_arcsine","Moss 2024 transform",120,120,0.758333333333333,0.0416666666666667,0.2,0.495417777460226,0.485255698953153,0.785868881506031,-0.0141311184939691,0.124051942946511,NA
0.8,2,20,"Fleiss","moss_basic","Moss 2024 transform",120,120,0.725,0.0166666666666667,0.258333333333333,0.51928740116627,0.500638618903172,0.785868881506031,-0.0141311184939691,0.124051942946511,NA
0.8,2,20,"Fleiss","moss_fisher","Moss 2024 transform",120,120,0.775,0.05,0.175,0.572842872016515,0.607472759680169,0.785868881506031,-0.0141311184939691,0.124051942946511,NA
0.8,2,40,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.833333333333333,0.00833333333333333,0.158333333333333,0.377443730695437,0.371004241600454,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.9,0.00833333333333333,0.0916666666666667,0.41373477912744,0.419028656717892,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.883333333333333,0.00833333333333333,0.108333333333333,0.377443730695437,0.371004241600454,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,119,0.949579831932773,0.00840336134453781,0.0420168067226891,0.880361667076457,0.730581446399942,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,119,0.949579831932773,0.00840336134453781,0.0420168067226891,0.695086245152454,0.634318928429374,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","boot_t_fisher","Efron 1987 bootstrap-t",120,119,0.932773109243697,0.0168067226890756,0.0504201680672269,0.574054657034953,0.564944288016011,0.794790820506496,-0.0052091794935043,0.097671918468681,149
0.8,2,40,"Fleiss","moss_arcsine","Moss 2024 transform",120,120,0.883333333333333,0.00833333333333333,0.108333333333333,0.386828733596462,0.407247922057704,0.794790820506496,-0.0052091794935043,0.097671918468681,NA
0.8,2,40,"Fleiss","moss_basic","Moss 2024 transform",120,120,0.858333333333333,0.00833333333333333,0.133333333333333,0.395120205258344,0.416847627472348,0.794790820506496,-0.0052091794935043,0.097671918468681,NA
0.8,2,40,"Fleiss","moss_fisher","Moss 2024 transform",120,120,0.9,0.00833333333333333,0.0916666666666667,0.428768948803115,0.463147157660477,0.794790820506496,-0.0052091794935043,0.097671918468681,NA
0.8,5,10,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.783333333333333,0.0416666666666667,0.175,0.550757693169326,0.571406691979311,0.74210751567825,-0.0578924843217502,0.12341800972909,148.975
0.8,5,10,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.85,0.05,0.1,0.553684077018406,0.570928498346123,0.74210751567825,-0.0578924843217502,0.12341800972909,148.975
0.8,5,10,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.8,0.108333333333333,0.0916666666666667,0.550757693169326,0.571406691979311,0.74210751567825,-0.0578924843217502,0.12341800972909,148.975
0.8,5,10,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,118,0.906779661016949,0,0.0932203389830508,1.25633864752023,0.984272522588145,0.74210751567825,-0.0578924843217502,0.12341800972909,148.991525423729
0.8,5,10,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,118,0.830508474576271,0.076271186440678,0.0932203389830508,0.759198913335175,0.719884869169635,0.74210751567825,-0.0578924843217502,0.12341800972909,148.991525423729
0.8,5,10,"Fleiss","boot_t_fisher","Efron 1987 bootstrap-t",120,118,0.88135593220339,0.0254237288135593,0.0932203389830508,0.661071762380665,0.663619100710428,0.74210751567825,-0.0578924843217502,0.12341800972909,148.991525423729
0.8,5,10,"Fleiss","moss_arcsine","Moss 2024 transform",120,120,0.808333333333333,0.0666666666666667,0.125,0.536537820216292,0.568448026967207,0.74210751567825,-0.0578924843217502,0.12341800972909,NA
0.8,5,10,"Fleiss","moss_basic","Moss 2024 transform",120,120,0.833333333333333,0.025,0.141666666666667,0.558381869453921,0.586889013907241,0.74210751567825,-0.0578924843217502,0.12341800972909,NA
0.8,5,10,"Fleiss","moss_fisher","Moss 2024 transform",120,120,0.825,0.0916666666666667,0.0833333333333333,0.60389168068965,0.648973892844904,0.74210751567825,-0.0578924843217502,0.12341800972909,NA
0.8,5,20,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.816666666666667,0,0.183333333333333,0.336195234812805,0.338872844841119,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.933333333333333,0.0166666666666667,0.05,0.345852517515572,0.351953062561932,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.916666666666667,0.0166666666666667,0.0666666666666667,0.336195234812805,0.338872844841119,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,120,0.983333333333333,0,0.0166666666666667,0.631568786100483,0.53509370870587,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,120,0.975,0.00833333333333333,0.0166666666666667,0.536553743879995,0.471881364152875,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","boot_t_fisher","Efron 1987 bootstrap-t",120,120,0.975,0.00833333333333333,0.0166666666666667,0.461387099237312,0.417008938842351,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,149
0.8,5,20,"Fleiss","moss_arcsine","Moss 2024 transform",120,120,0.925,0.025,0.05,0.345393235310337,0.351545156167061,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,NA
0.8,5,20,"Fleiss","moss_basic","Moss 2024 transform",120,120,0.891666666666667,0.00833333333333333,0.1,0.351078415410702,0.357524679215176,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,NA
0.8,5,20,"Fleiss","moss_fisher","Moss 2024 transform",120,120,0.95,0.025,0.025,0.380840324294797,0.387305010904378,0.799963789410163,-3.62105898370491e-05,0.0838687005701783,NA
0.8,5,40,"Fleiss","boot_basic","nonparametric bootstrap",120,120,0.875,0.00833333333333333,0.116666666666667,0.242585883627025,0.244696689901136,0.799190264779911,-0.000809735220088648,0.0615334045834185,149
0.8,5,40,"Fleiss","boot_bca","Efron 1987 BCa",120,120,0.966666666666667,0.00833333333333333,0.025,0.249064606571671,0.245057633862193,0.799190264779911,-0.000809735220088648,0.0615334045834185,149
0.8,5,40,"Fleiss","boot_percentile","nonparametric bootstrap",120,120,0.925,0.025,0.05,0.242585883627025,0.244696689901136,0.799190264779911,-0.000809735220088648,0.0615334045834185,149
0.8,5,40,"Fleiss","boot_t","Efron 1987 bootstrap-t",120,120,0.991666666666667,0.00833333333333333,0,0.292023645220959,0.283609528810197,0.799190264779911,-0.000809735220088648,0.0615334045834185,149
0.8,5,40,"Fleiss","boot_t_arcsine","Efron 1987 bootstrap-t",120,120,0.983333333333333,0.00833333333333333,0.00833333333333333,0.276326793689169,0.26909458440894,0.799190264779911,-0.000809735220088648,0.0615334045834185,149
