"mechanism","replicate","n","estimator","coefficient","estimate","truth","bias","observed_fraction","mean_observed_raters","zero_observed_fraction","error"
"m1_rater_mcar",12,500,"raw_ipw","Brennan-Prediger",0.668742110535123,0.656030112,0.0127119985351233,0.6004,3.002,0.006,""
"m1_rater_mcar",13,500,"counts_fiml","Fleiss",0.739377876545758,0.652494739899285,0.0868831366464734,0.61,3.05,0,""
"m1_rater_mcar",13,500,"counts_fiml","Brennan-Prediger",0.744362248915934,0.656030112,0.0883321369159336,0.61,3.05,0,""
"m1_rater_mcar",13,500,"raw_fiml","Fleiss",0.637942452042133,0.652494739899285,-0.014552287857152,0.61,3.05,0,""
"m1_rater_mcar",13,500,"raw_fiml","Brennan-Prediger",0.644685804376192,0.656030112,-0.011344307623808,0.61,3.05,0,""
"m1_rater_mcar",13,500,"raw_ipw","Fleiss",0.658771840293588,0.652494739899285,0.00627710039430318,0.61,3.05,0,""
"m1_rater_mcar",13,500,"raw_ipw","Brennan-Prediger",0.664512007793465,0.656030112,0.00848189579346537,0.61,3.05,0,""
"m1_rater_mcar",14,500,"counts_fiml","Fleiss",0.731881031425936,0.652494739899285,0.0793862915266508,0.6136,3.068,0,""
"m1_rater_mcar",14,500,"counts_fiml","Brennan-Prediger",0.735205703492357,0.656030112,0.0791755914923571,0.6136,3.068,0,""
"m1_rater_mcar",14,500,"raw_fiml","Fleiss",0.607530307787055,0.652494739899285,-0.0449644321122296,0.6136,3.068,0,""
"m1_rater_mcar",14,500,"raw_fiml","Brennan-Prediger",0.611459679591038,0.656030112,-0.044570432408962,0.6136,3.068,0,""
"m1_rater_mcar",14,500,"raw_ipw","Fleiss",0.616231883843287,0.652494739899285,-0.0362628560559977,0.6136,3.068,0,""
"m1_rater_mcar",14,500,"raw_ipw","Brennan-Prediger",0.61968892301767,0.656030112,-0.0363411889823302,0.6136,3.068,0,""
"m1_rater_mcar",15,500,"counts_fiml","Fleiss",0.750530913669104,0.652494739899285,0.0980361737698188,0.6188,3.094,0,""
"m1_rater_mcar",15,500,"counts_fiml","Brennan-Prediger",0.754881593282421,0.656030112,0.098851481282421,0.6188,3.094,0,""
"m1_rater_mcar",15,500,"raw_fiml","Fleiss",0.635246786469654,0.652494739899285,-0.0172479534296304,0.6188,3.094,0,""
"m1_rater_mcar",15,500,"raw_fiml","Brennan-Prediger",0.640883346521142,0.656030112,-0.0151467654788582,0.6188,3.094,0,""
"m1_rater_mcar",15,500,"raw_ipw","Fleiss",0.642148123011606,0.652494739899285,-0.0103466168876793,0.6188,3.094,0,""
"m1_rater_mcar",15,500,"raw_ipw","Brennan-Prediger",0.647351583817982,0.656030112,-0.00867852818201853,0.6188,3.094,0,""
"m1_rater_mcar",16,500,"counts_fiml","Fleiss",0.745503102742418,0.652494739899285,0.0930083628431331,0.6188,3.094,0,""
